graph_id,state_code,ses_definition,ses_category,source_condition,target_condition,bootstrap_status,bootstrap_message,bootstrap_log_odds_ratio,bootstrap_replicates_requested,bootstrap_replicates_valid,positive_stability,bootstrap_low_log,bootstrap_high_log,stability_standard_error,stability_wilson_low,stability_wilson_high
2024_01_education_binary_higher,1,education_binary,higher,STROKE,DIABETES,ok,,0.573802503062766,200,200,0.995,0.128607611058355,0.946722079497797,0.004987484335815003,0.9722262956021069,0.9991168312843989
2024_01_education_binary_higher,1,education_binary,higher,STROKE,KIDNEY_DISEASE,ok,,1.48005807573905,200,200,1.0,0.815112742314764,1.97570960667123,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,COPD,ARTHRITIS,ok,,1.00356315432885,200,200,1.0,0.476366858286449,1.55132630340346,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,COPD,DEPRESSIVE_DISORDER,ok,,1.29770892026381,200,200,1.0,0.880082048934304,1.69931745938319,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,CURRENT_ASTHMA,ARTHRITIS,ok,,0.841367247995893,200,200,1.0,0.427486290307722,1.4749050167672,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,CURRENT_ASTHMA,COPD,ok,,2.13291835635536,200,200,1.0,1.6814686766402,2.69433163100104,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,ok,,1.27959867005665,200,200,1.0,0.854409735406923,1.73167533304741,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,DEPRESSIVE_DISORDER,ARTHRITIS,ok,,1.49750324385171,200,200,1.0,1.14548264539593,1.89626628697789,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,ISCHEMIC_HEART_DISEASE,COPD,ok,,1.10727552119937,200,200,1.0,0.668330142846662,1.55387963734896,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,ok,,0.675711294319818,200,200,1.0,0.299619019611809,1.11459072786435,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,ISCHEMIC_HEART_DISEASE,STROKE,ok,,1.36844598904738,200,200,1.0,0.83258008971401,1.96929829646561,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,KIDNEY_DISEASE,ARTHRITIS,ok,,1.16633950297322,200,200,1.0,0.624556028858896,1.89527583944787,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,KIDNEY_DISEASE,DIABETES,ok,,1.09751720479993,200,200,1.0,0.631531211882789,1.57768311837026,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,OTHER_CANCER,ARTHRITIS,ok,,0.897996173124009,200,200,1.0,0.475394264313963,1.39250321449231,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,OTHER_CANCER,DEPRESSIVE_DISORDER,ok,,0.647591087516208,200,200,1.0,0.219677492344017,1.05542159182825,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,SKIN_CANCER,OTHER_CANCER,ok,,1.51756536214092,200,200,1.0,1.08315622901942,2.05905295199178,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,STROKE,ARTHRITIS,ok,,0.735285824308819,200,200,1.0,0.221581683916449,1.26938035122304,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,STROKE,CURRENT_ASTHMA,ok,,0.922280209151476,200,200,1.0,0.41629329235354,1.52453314113463,0.0,0.9811546736227335,1.0
2024_01_education_binary_lower,1,education_binary,lower,STROKE,DEPRESSIVE_DISORDER,ok,,0.775258025681114,200,200,0.995,0.217146588407445,1.1500753930037,0.004987484335815003,0.9722262956021069,0.9991168312843989
2024_01_education_binary_lower,1,education_binary,lower,STROKE,KIDNEY_DISEASE,ok,,0.928603764005941,200,200,0.995,0.363817696372597,1.43620941056075,0.004987484335815003,0.9722262956021069,0.9991168312843989
2024_01_education_binary_lower,1,education_binary,lower,STROKE,OTHER_CANCER,ok,,0.975310798820317,200,200,1.0,0.495943445296625,1.46326007677598,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,ARTHRITIS,DIABETES,ok,,0.62604612414671,200,200,1.0,0.307507334680443,0.95318434603476,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,COPD,ARTHRITIS,ok,,0.720003308131806,200,200,1.0,0.332655599138324,1.15364201911404,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,COPD,DEPRESSIVE_DISORDER,ok,,1.06422810586502,200,200,1.0,0.643110987574935,1.48500094152554,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,COPD,DIABETES,ok,,0.640373211118189,200,200,0.995,0.0792132887912108,1.16077190514722,0.004987484335815003,0.9722262956021069,0.9991168312843989
2024_02_education_binary_higher,2,education_binary,higher,COPD,KIDNEY_DISEASE,ok,,0.886108404102412,200,200,0.995,0.298296025162398,1.41262177221947,0.004987484335815003,0.9722262956021069,0.9991168312843989
2024_02_education_binary_higher,2,education_binary,higher,CURRENT_ASTHMA,ARTHRITIS,ok,,0.539654683203749,200,200,1.0,0.239691924605843,0.89221053523893,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,CURRENT_ASTHMA,COPD,ok,,1.91221860190439,200,200,1.0,1.48666897727309,2.38185052877262,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,ok,,0.694224498343986,200,200,1.0,0.414490964610551,1.01981797277295,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,CURRENT_ASTHMA,DIABETES,ok,,0.733349762195905,200,200,1.0,0.218442275714617,1.2154950113081,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,DEPRESSIVE_DISORDER,ARTHRITIS,ok,,0.901595160946282,200,200,1.0,0.630864129020658,1.17084370657923,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,DEPRESSIVE_DISORDER,DIABETES,ok,,0.732828388202551,200,200,1.0,0.375929283096764,1.08516869283295,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,ok,,1.35330303493753,200,200,1.0,0.842689871233126,1.82019651543312,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,ISCHEMIC_HEART_DISEASE,ARTHRITIS,ok,,0.836992126039518,200,200,1.0,0.417748064910954,1.28652433681782,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,ISCHEMIC_HEART_DISEASE,COPD,ok,,1.00444220537893,200,200,1.0,0.421956386892548,1.49247397420429,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,ok,,1.20061009047777,200,200,1.0,0.72111518061218,1.62373437650485,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,ISCHEMIC_HEART_DISEASE,DIABETES,ok,,0.865745053869879,200,200,1.0,0.469580629510532,1.37404543370608,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,ok,,1.54086077103452,200,200,1.0,0.882661200591115,2.07726393099265,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,ISCHEMIC_HEART_DISEASE,STROKE,ok,,1.2743082358108,200,200,1.0,0.362174907541095,2.00136070080338,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,KIDNEY_DISEASE,ARTHRITIS,ok,,1.07377288320896,200,200,1.0,0.616888836241521,1.64914733591078,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,KIDNEY_DISEASE,DIABETES,ok,,0.966791680928156,200,200,1.0,0.466792694627899,1.54724484130452,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,OTHER_CANCER,ARTHRITIS,ok,,0.404772316089603,200,200,0.995,0.0654684223181786,0.672738171851419,0.004987484335815003,0.9722262956021069,0.9991168312843989
2024_02_education_binary_higher,2,education_binary,higher,OTHER_CANCER,KIDNEY_DISEASE,ok,,0.640977020156752,200,200,0.985,0.09640627320309,1.1441617835985,0.008595056718835545,0.9568342712073097,0.9948857622067417
2024_02_education_binary_higher,2,education_binary,higher,SKIN_CANCER,OTHER_CANCER,ok,,1.92521271238091,200,200,1.0,1.41422304670531,2.32309409617834,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,STROKE,DEPRESSIVE_DISORDER,ok,,1.22697034433496,200,200,1.0,0.660115730786321,1.75301294174021,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,STROKE,DIABETES,ok,,1.0315315110326,200,200,1.0,0.587706761920375,1.53392567629114,0.0,0.9811546736227335,1.0
2024_02_education_binary_higher,2,education_binary,higher,STROKE,KIDNEY_DISEASE,ok,,1.05016409132833,200,200,0.995,0.411634050455154,1.67307550448713,0.004987484335815003,0.9722262956021069,0.9991168312843989
2024_02_education_binary_lower,2,education_binary,lower,COPD,ARTHRITIS,ok,,1.22629618143641,200,200,1.0,0.710137437752112,1.7825033023393,0.0,0.9811546736227335,1.0
2024_02_education_binary_lower,2,education_binary,lower,COPD,DEPRESSIVE_DISORDER,ok,,1.3636567959069,200,200,1.0,0.820079921623767,1.90837796781968,0.0,0.9811546736227335,1.0
2024_02_education_binary_lower,2,education_binary,lower,COPD,KIDNEY_DISEASE,ok,,1.80637231482417,200,200,0.995,0.567418395490651,2.62582884419169,0.004987484335815003,0.9722262956021069,0.9991168312843989
2024_02_education_binary_lower,2,education_binary,lower,CURRENT_ASTHMA,ARTHRITIS,ok,,0.75466805153602,200,200,0.995,0.241497203861525,1.34892124879664,0.004987484335815003,0.9722262956021069,0.9991168312843989
2024_02_education_binary_lower,2,education_binary,lower,CURRENT_ASTHMA,COPD,ok,,1.62753002801405,200,200,1.0,0.969624871053812,2.35957205271147,0.0,0.9811546736227335,1.0
2024_02_education_binary_lower,2,education_binary,lower,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,ok,,0.702662079510919,200,200,0.995,0.162973564564947,1.32713366799407,0.004987484335815003,0.9722262956021069,0.9991168312843989
2024_02_education_binary_lower,2,education_binary,lower,CURRENT_ASTHMA,DIABETES,ok,,1.26928203697743,200,200,0.995,0.400027983354393,1.8734787302672,0.004987484335815003,0.9722262956021069,0.9991168312843989
2024_02_education_binary_lower,2,education_binary,lower,DEPRESSIVE_DISORDER,ARTHRITIS,ok,,1.55239571076514,200,200,1.0,1.13767206785233,2.08766419607979,0.0,0.9811546736227335,1.0
2024_02_education_binary_lower,2,education_binary,lower,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,ok,,1.40341497031785,200,200,1.0,0.600432853102794,2.06568965524173,0.0,0.9811546736227335,1.0
2024_02_education_binary_lower,2,education_binary,lower,ISCHEMIC_HEART_DISEASE,ARTHRITIS,ok,,1.04894269483705,200,200,1.0,0.464102848554956,1.54674248995474,0.0,0.9811546736227335,1.0
2024_02_education_binary_lower,2,education_binary,lower,ISCHEMIC_HEART_DISEASE,COPD,ok,,0.975017601304061,200,200,0.985,0.0699610713854146,1.68473615766703,0.008595056718835545,0.9568342712073097,0.9948857622067417
2024_02_education_binary_lower,2,education_binary,lower,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,ok,,0.851076512607155,200,200,0.99,0.153957182757843,1.52120163821662,0.007035623639735147,0.9642782382838231,0.9972533418664555
2024_02_education_binary_lower,2,education_binary,lower,ISCHEMIC_HEART_DISEASE,DIABETES,ok,,1.07624458216332,200,200,1.0,0.550624028028817,1.73338223582247,0.0,0.9811546736227335,1.0
2024_02_education_binary_lower,2,education_binary,lower,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,ok,,1.59016784416088,200,200,1.0,0.44030131077138,2.55276062043836,0.0,0.9811546736227335,1.0
2024_02_education_binary_lower,2,education_binary,lower,ISCHEMIC_HEART_DISEASE,STROKE,ok,,1.94678682372812,200,200,1.0,0.919364856357898,2.83661894857114,0.0,0.9811546736227335,1.0
2024_02_education_binary_lower,2,education_binary,lower,KIDNEY_DISEASE,ARTHRITIS,ok,,1.30912691831512,200,200,0.995,0.452609735656303,2.40346879972766,0.004987484335815003,0.9722262956021069,0.9991168312843989
