ses_definition,rule_id,source_condition,target_condition,graph_count,support_count,support_fraction
education_binary,adjusted_stable,CURRENT_ASTHMA,KIDNEY_DISEASE,94,47,0.5
education_binary,adjusted_stable,CURRENT_ASTHMA,ARTHRITIS,94,90,0.9574468085106383
education_binary,adjusted_stable,CURRENT_ASTHMA,DIABETES,94,68,0.723404255319149
education_binary,adjusted_stable,SKIN_CANCER,OTHER_CANCER,94,93,0.9893617021276596
education_binary,adjusted_stable,SKIN_CANCER,COPD,94,14,0.14893617021276595
education_binary,adjusted_stable,SKIN_CANCER,DEPRESSIVE_DISORDER,94,17,0.18085106382978725
education_binary,adjusted_stable,SKIN_CANCER,KIDNEY_DISEASE,94,21,0.22340425531914893
education_binary,adjusted_stable,SKIN_CANCER,ARTHRITIS,94,44,0.46808510638297873
education_binary,adjusted_stable,SKIN_CANCER,DIABETES,94,0,0.0
education_binary,adjusted_stable,OTHER_CANCER,COPD,94,59,0.6276595744680851
education_binary,adjusted_stable,OTHER_CANCER,DEPRESSIVE_DISORDER,94,46,0.48936170212765956
education_binary,adjusted_stable,OTHER_CANCER,KIDNEY_DISEASE,94,64,0.6808510638297872
education_binary,adjusted_stable,OTHER_CANCER,ARTHRITIS,94,58,0.6170212765957447
education_binary,adjusted_stable,OTHER_CANCER,DIABETES,94,18,0.19148936170212766
education_binary,adjusted_stable,COPD,DEPRESSIVE_DISORDER,94,93,0.9893617021276596
education_binary,adjusted_stable,COPD,KIDNEY_DISEASE,94,69,0.7340425531914894
education_binary,adjusted_stable,COPD,ARTHRITIS,94,92,0.9787234042553191
education_binary,adjusted_stable,COPD,DIABETES,94,63,0.6702127659574468
education_binary,adjusted_stable,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,94,74,0.7872340425531915
education_binary,adjusted_stable,DEPRESSIVE_DISORDER,ARTHRITIS,94,94,1.0
education_binary,adjusted_stable,DEPRESSIVE_DISORDER,DIABETES,94,75,0.7978723404255319
education_binary,adjusted_stable,KIDNEY_DISEASE,ARTHRITIS,94,82,0.8723404255319149
education_binary,adjusted_stable,KIDNEY_DISEASE,DIABETES,94,92,0.9787234042553191
education_binary,adjusted_stable,ARTHRITIS,DIABETES,94,77,0.8191489361702128
education_binary,phi_008,ISCHEMIC_HEART_DISEASE,STROKE,94,94,1.0
education_binary,phi_008,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,94,16,0.1702127659574468
education_binary,phi_008,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,94,63,0.6702127659574468
education_binary,phi_008,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,94,84,0.8936170212765957
education_binary,phi_008,ISCHEMIC_HEART_DISEASE,COPD,94,93,0.9893617021276596
education_binary,phi_008,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,94,10,0.10638297872340426
education_binary,phi_008,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,94,92,0.9787234042553191
education_binary,phi_008,ISCHEMIC_HEART_DISEASE,ARTHRITIS,94,94,1.0
education_binary,phi_008,ISCHEMIC_HEART_DISEASE,DIABETES,94,94,1.0
education_binary,phi_008,STROKE,CURRENT_ASTHMA,94,15,0.1595744680851064
education_binary,phi_008,STROKE,SKIN_CANCER,94,15,0.1595744680851064
education_binary,phi_008,STROKE,OTHER_CANCER,94,42,0.44680851063829785
education_binary,phi_008,STROKE,COPD,94,77,0.8191489361702128
education_binary,phi_008,STROKE,DEPRESSIVE_DISORDER,94,12,0.1276595744680851
education_binary,phi_008,STROKE,KIDNEY_DISEASE,94,69,0.7340425531914894
education_binary,phi_008,STROKE,ARTHRITIS,94,86,0.9148936170212766
education_binary,phi_008,STROKE,DIABETES,94,86,0.9148936170212766
education_binary,phi_008,CURRENT_ASTHMA,SKIN_CANCER,94,1,0.010638297872340425
education_binary,phi_008,CURRENT_ASTHMA,OTHER_CANCER,94,4,0.0425531914893617
education_binary,phi_008,CURRENT_ASTHMA,COPD,94,94,1.0
education_binary,phi_008,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,94,92,0.9787234042553191
education_binary,phi_008,CURRENT_ASTHMA,KIDNEY_DISEASE,94,4,0.0425531914893617
education_binary,phi_008,CURRENT_ASTHMA,ARTHRITIS,94,82,0.8723404255319149
education_binary,phi_008,CURRENT_ASTHMA,DIABETES,94,16,0.1702127659574468
education_binary,phi_008,SKIN_CANCER,OTHER_CANCER,94,94,1.0
education_binary,phi_008,SKIN_CANCER,COPD,94,24,0.2553191489361702
