similarity_metric,metric,observed,null_mean,null_standard_deviation,null_q025,null_q975,p_value_one_sided_greater,permutations,paired_states,permutation_scheme,null_hypothesis,ses_definition,rule_id
density_adjusted_jaccard_z,same_ses_mean,3.369750898931283,3.2761486621993567,0.012158441950914752,3.256378297422225,3.304190762328796,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,adjusted_stable
density_adjusted_jaccard_z,lower_ses_mean,3.004392771421967,3.2762443743012266,0.11046194160271298,3.069353913387506,3.4980156991997053,0.9963003699630038,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,adjusted_stable
density_adjusted_jaccard_z,higher_ses_mean,3.7351090264405986,3.2760529500974807,0.11014832181860171,3.0700241627910163,3.501115411650612,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,adjusted_stable
density_adjusted_jaccard_z,cross_ses_mean,3.1830245426180044,3.2766267793499275,0.012158441950914775,3.248584679220488,3.2963971441270594,1.0,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,adjusted_stable
density_adjusted_jaccard_z,same_minus_cross,0.1867263563132786,-0.00047811715057088905,0.02431688390182952,-0.04001884670483436,0.05560608310830783,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,adjusted_stable
density_adjusted_jaccard_z,lower_minus_cross,-0.17863177119603746,-0.0003824050487009541,0.11260513996375093,-0.2029656393786134,0.23130852257367798,0.9525047495250475,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,adjusted_stable
density_adjusted_jaccard_z,higher_minus_cross,0.5520844838225942,-0.0005738292524473412,0.11198902651546742,-0.20570577224673153,0.23704573039760507,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,adjusted_stable
edge_jaccard,same_ses_mean,0.7612812971132474,0.7549753533721075,0.0006814783840667479,0.7538862904224497,0.7565618581613769,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
edge_jaccard,lower_ses_mean,0.7322677054421052,0.7549003920437198,0.011261557687794528,0.7333361890931579,0.7770395249910268,0.9817018298170183,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
edge_jaccard,higher_ses_mean,0.79029488878439,0.7550503147004932,0.011271618186303222,0.7339928510742394,0.7775129034903389,0.0007999200079992001,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
edge_jaccard,cross_ses_mean,0.7486844512464993,0.7549903949876386,0.000681478384066754,0.7534038901983693,0.7560794579372965,1.0,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
edge_jaccard,same_minus_cross,0.012596845866748141,-1.5041615531153696e-05,0.0013629567681335017,-0.0021931675148467804,0.003157967963007518,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
