ses_definition,rule_id,graph_count,edge_count_minimum,edge_count_median,edge_count_maximum,density_minimum,density_median,density_maximum,fraction_in_preferred_edge_range,high_density_graph_count,median_edge_target_met,maximum_density_target_met
education_binary,adjusted_fdr,94,10,31.0,40,0.2222222222222222,0.6888888888888889,0.8888888888888888,0.10638297872340426,45,False,False
education_binary,adjusted_stable,94,10,31.0,40,0.2222222222222222,0.6888888888888889,0.8888888888888888,0.10638297872340426,45,False,False
education_binary,phi_008,94,20,27.0,39,0.4444444444444444,0.6,0.8666666666666667,0.010638297872340425,11,False,False
education_binary,phi_012,94,10,18.0,27,0.2222222222222222,0.4,0.6,0.7553191489361702,0,True,True
income_binary,adjusted_fdr,96,6,26.0,39,0.13333333333333333,0.5777777777777777,0.8666666666666667,0.19791666666666666,27,False,False
income_binary,phi_008,96,17,26.0,36,0.37777777777777777,0.5777777777777777,0.8,0.14583333333333334,14,False,False
income_binary,phi_012,96,8,17.0,28,0.17777777777777778,0.37777777777777777,0.6222222222222222,0.7083333333333334,0,True,True
