graph_id,geography_code,geography,ses_category,edge_count,density,mean_same_ses_jaccard,median_same_ses_jaccard,mean_same_ses_density_adjusted_z,robust_similarity_z,robust_density_adjusted_similarity_z,n_unweighted,weighted_population_estimate,kish_effective_n,n_strata,n_psu,ses_definition,rule_id
2024_37_education_binary_higher,37,North Carolina,higher,26,0.5777777777777777,0.6218983826621606,0.631578947368421,2.779628360430381,-3.1226338821533624,-1.7641516646746802,2960,5459736.264063175,2078.2171271473208,14,2960,education_binary,adjusted_fdr
2024_38_education_binary_lower,38,North Dakota,lower,30,0.6666666666666666,0.6273002126104864,0.6626016260162602,2.9467097588372235,0.0,-0.23068505438329684,1770,198881.2684100977,994.9966106420802,4,1770,education_binary,adjusted_fdr
2024_08_education_binary_lower,8,Colorado,lower,34,0.7555555555555555,0.6277112253773426,0.6494601889338731,2.4443069344430506,0.006725041510719256,-1.1868609563816421,2617,1407667.44185125,1957.9174540389397,45,2617,education_binary,adjusted_fdr
2024_26_education_binary_lower,26,Michigan,lower,30,0.6666666666666666,0.634788069029235,0.6430934656741109,3.0878717424693085,0.12251722891131184,0.0379752326882302,3461,3029650.82284724,1619.1061023899174,55,3461,education_binary,adjusted_fdr
2024_04_education_binary_higher,4,Arizona,higher,26,0.5777777777777777,0.6377135909184252,0.6440422322775264,3.0790583685445854,-2.750207172822129,-1.218503843429383,5993,3760062.140502301,1895.3198772378423,41,5993,education_binary,adjusted_fdr
2024_19_education_binary_lower,19,Iowa,lower,29,0.6444444444444445,0.645905365761957,0.6849624060150377,3.440811661083074,0.30441980723365514,0.7096924855493867,3328,953665.9732450545,1956.2237965728445,29,3328,education_binary,adjusted_fdr
2024_45_education_binary_lower,45,South Carolina,lower,31,0.6888888888888889,0.6462204860981352,0.6715686274509804,3.1618860901152113,0.30957584498372276,0.1788397584927571,3099,1751959.5723651028,1047.7923822046807,64,3099,education_binary,adjusted_fdr
2024_13_education_binary_lower,13,Georgia,lower,29,0.6444444444444445,0.6468474156634771,0.6666666666666666,3.444955339614473,0.3198337437430988,0.7175787580084029,2418,3484176.061540573,1060.5229114708488,83,2418,education_binary,adjusted_fdr
2024_20_education_binary_lower,20,Kansas,lower,32,0.7111111111111111,0.6472344128961427,0.6756756756756757,3.0752388236825854,0.3261658401256913,0.013932190075297543,3268,814644.8194462387,1720.3714708033478,39,3268,education_binary,adjusted_fdr
2024_22_education_binary_lower,22,Louisiana,lower,30,0.6666666666666666,0.6486780171432788,0.6803405572755419,3.3283628351839885,0.349786270608421,0.49567924296388144,1715,1649226.4179916596,1196.7703835082584,28,1715,education_binary,adjusted_fdr
2024_17_education_binary_lower,17,Illinois,lower,36,0.8,0.6501878820465917,0.6799431009957326,2.7135217731420833,0.3744908661080318,-0.67448975,3682,3609283.8245509714,2347.6554468819745,50,3682,education_binary,adjusted_fdr
2024_53_education_binary_lower,53,Washington,lower,34,0.7555555555555555,0.6502559160148567,0.6705128205128206,2.898880605583764,0.37560404627569494,-0.3217137698549729,6573,2004970.2678889353,4167.2291717089565,91,6573,education_binary,adjusted_fdr
2024_31_education_binary_lower,31,Nebraska,lower,38,0.8444444444444444,0.6530094916710981,0.6708333333333334,2.621135943660618,0.4206583902873728,-0.8503189841266745,4788,529792.8821209782,2250.515294864432,84,4788,education_binary,adjusted_fdr
2024_36_education_binary_lower,36,New York,lower,38,0.8444444444444444,0.65561828545587,0.7036585365853658,2.6770295249201808,0.46334379548705185,-0.7439420035807821,14299,5750332.378887327,5674.972134479502,230,14299,education_binary,adjusted_fdr
