graph_id,condition,n_valid,n_cases,unweighted_prevalence,weighted_prevalence,weighted_population_denominator,kish_effective_n,ses_definition,ses_category
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,1563,208,0.13307741522712732,0.11225901111254273,1758012.8740012627,878.2466307700417,education_binary,lower
2023_01_education_binary_lower,STROKE,1579,128,0.08106396453451552,0.06441646973106697,1776005.255899936,887.1952791151282,education_binary,lower
2023_01_education_binary_lower,CURRENT_ASTHMA,1567,156,0.09955328653477984,0.09703331054098796,1754385.9195446537,878.2781502807426,education_binary,lower
2023_01_education_binary_lower,SKIN_CANCER,1574,134,0.08513341804320203,0.0624666253444524,1769786.2179748514,884.6730676788145,education_binary,lower
2023_01_education_binary_lower,OTHER_CANCER,1577,181,0.11477488902980343,0.07996691251294215,1774222.1427138897,885.999245273646,education_binary,lower
2023_01_education_binary_lower,COPD,1575,219,0.13904761904761906,0.12598174535237375,1772134.7852584545,884.6871124761566,education_binary,lower
2023_01_education_binary_lower,DEPRESSIVE_DISORDER,1579,349,0.22102596580113995,0.24305007219321711,1774120.5896081058,887.2551220583363,education_binary,lower
2023_01_education_binary_lower,KIDNEY_DISEASE,1569,90,0.05736137667304015,0.04744736726095763,1770677.4421503984,882.7296825167456,education_binary,lower
2023_01_education_binary_lower,ARTHRITIS,1572,664,0.4223918575063613,0.32239221457815986,1765643.5161370658,884.1150531740373,education_binary,lower
2023_01_education_binary_lower,DIABETES,1581,345,0.21821631878557876,0.16971138386410964,1778328.5322696262,888.6493889058435,education_binary,lower
2023_01_education_binary_higher,ISCHEMIC_HEART_DISEASE,2747,253,0.0921004732435384,0.07006117890627729,2223394.844149296,1575.3694718104562,education_binary,higher
2023_01_education_binary_higher,STROKE,2765,148,0.05352622061482821,0.03870879563008225,2234452.4963912694,1584.736669749054,education_binary,higher
2023_01_education_binary_higher,CURRENT_ASTHMA,2742,225,0.08205689277899343,0.07953029576640552,2214510.1963887447,1570.1013851603047,education_binary,higher
2023_01_education_binary_higher,SKIN_CANCER,2759,301,0.10909749909387459,0.0806399236460464,2231294.784158616,1581.4887859681014,education_binary,higher
2023_01_education_binary_higher,OTHER_CANCER,2761,345,0.12495472654835205,0.08746530708751876,2231246.2318361164,1581.8833589148605,education_binary,higher
2023_01_education_binary_higher,COPD,2759,209,0.07575208408843784,0.06103184472997916,2230224.216522878,1580.6842501689796,education_binary,higher
2023_01_education_binary_higher,DEPRESSIVE_DISORDER,2761,578,0.20934444042013764,0.2113384887563585,2226650.647308807,1579.7605015178692,education_binary,higher
2023_01_education_binary_higher,KIDNEY_DISEASE,2765,149,0.0538878842676311,0.04177218056068131,2234602.3780200267,1584.9859617238528,education_binary,higher
2023_01_education_binary_higher,ARTHRITIS,2759,1047,0.37948532076839436,0.2986565429715177,2228668.5680138296,1580.7869504910004,education_binary,higher
2023_01_education_binary_higher,DIABETES,2766,506,0.1829356471438901,0.1468936159652744,2234234.782258599,1584.9659301194733,education_binary,higher
2023_02_education_binary_lower,ISCHEMIC_HEART_DISEASE,1618,131,0.08096415327564895,0.05271694619691595,205764.99051440062,884.7476879186672,education_binary,lower
2023_02_education_binary_lower,STROKE,1636,65,0.03973105134474328,0.03488957382521069,208195.91610484762,899.8753069064276,education_binary,lower
2023_02_education_binary_lower,CURRENT_ASTHMA,1627,173,0.10633066994468347,0.12565145170347564,205475.43341742436,901.205756410428,education_binary,lower
2023_02_education_binary_lower,SKIN_CANCER,1639,40,0.024405125076266018,0.015428980059770189,208710.2609964724,899.0438403758028,education_binary,lower
2023_02_education_binary_lower,OTHER_CANCER,1639,119,0.0726052471018914,0.0559878063253672,208218.12365221055,897.0908490420251,education_binary,lower
2023_02_education_binary_lower,COPD,1634,156,0.09547123623011015,0.07643397190777523,207958.95665463986,896.2057712953069,education_binary,lower
2023_02_education_binary_lower,DEPRESSIVE_DISORDER,1630,272,0.1668711656441718,0.1788613459647318,207020.6100696598,896.5904320104726,education_binary,lower
2023_02_education_binary_lower,KIDNEY_DISEASE,1634,42,0.025703794369645042,0.01981093276099959,208571.654364824,896.3612962172127,education_binary,lower
2023_02_education_binary_lower,ARTHRITIS,1635,422,0.2581039755351682,0.2118484640556642,208399.2753458038,895.5199128262684,education_binary,lower
2023_02_education_binary_lower,DIABETES,1647,180,0.1092896174863388,0.08935013083062807,209605.92293182272,901.6296885615577,education_binary,lower
2023_02_education_binary_higher,ISCHEMIC_HEART_DISEASE,3794,281,0.07406431207169215,0.06053982002635799,343758.8929562876,1912.5918896514975,education_binary,higher
2023_02_education_binary_higher,STROKE,3828,146,0.03814002089864159,0.02932782416069653,346223.1555271956,1931.7564165862273,education_binary,higher
2023_02_education_binary_higher,CURRENT_ASTHMA,3809,372,0.0976634287214492,0.09904600078124025,343477.1090583553,1920.121235463343,education_binary,higher
2023_02_education_binary_higher,SKIN_CANCER,3811,232,0.060876410390973495,0.04445665285771344,344737.692071924,1922.484736019944,education_binary,higher
2023_02_education_binary_higher,OTHER_CANCER,3823,428,0.1119539628563955,0.08269984736711927,345700.85628520424,1928.2216348408442,education_binary,higher
2023_02_education_binary_higher,COPD,3828,220,0.05747126436781609,0.04879719469792602,345652.88349849597,1929.0856668328747,education_binary,higher
2023_02_education_binary_higher,DEPRESSIVE_DISORDER,3818,742,0.19434258774227345,0.2058064700878402,344588.5618354455,1924.8093211021658,education_binary,higher
2023_02_education_binary_higher,KIDNEY_DISEASE,3833,147,0.038351160970519174,0.02867269796235243,346001.81740556814,1932.9200776289074,education_binary,higher
2023_02_education_binary_higher,ARTHRITIS,3820,1222,0.31989528795811517,0.26058832139131355,344283.80879869027,1925.6406924174364,education_binary,higher
2023_02_education_binary_higher,DIABETES,3831,384,0.10023492560689115,0.08591050320161409,345918.7571585599,1930.384753012521,education_binary,higher
2023_04_education_binary_lower,ISCHEMIC_HEART_DISEASE,3302,285,0.08631132646880678,0.05449477369125427,2150817.574101984,1424.3043091164295,education_binary,lower
2023_04_education_binary_lower,STROKE,3337,172,0.05154330236739586,0.032197800386245395,2164429.171851862,1437.0592989683541,education_binary,lower
2023_04_education_binary_lower,CURRENT_ASTHMA,3318,330,0.09945750452079566,0.09120732644664227,2157536.0637783394,1430.283581173507,education_binary,lower
2023_04_education_binary_lower,SKIN_CANCER,3324,281,0.0845367027677497,0.045146838585279264,2164950.5359619507,1433.7692408103246,education_binary,lower
2023_04_education_binary_lower,OTHER_CANCER,3328,358,0.10757211538461539,0.06596028259493467,2166742.7777325697,1435.463183510609,education_binary,lower
2023_04_education_binary_lower,COPD,3327,306,0.09197475202885483,0.05812211194470588,2156173.36788055,1432.9760127029824,education_binary,lower
2023_04_education_binary_lower,DEPRESSIVE_DISORDER,3319,607,0.1828864115697499,0.18187179598265868,2148326.016151825,1438.1889821301327,education_binary,lower
2023_04_education_binary_lower,KIDNEY_DISEASE,3337,206,0.06173209469583458,0.046620413977025765,2164772.0144843766,1436.7037924542558,education_binary,lower
2023_04_education_binary_lower,ARTHRITIS,3323,1094,0.3292205838098104,0.21803145010152777,2156553.850280883,1429.6944212861729,education_binary,lower
2023_04_education_binary_lower,DIABETES,3338,546,0.1635710005991612,0.129640801256299,2165434.047976657,1442.4983998910925,education_binary,lower
2023_04_education_binary_higher,ISCHEMIC_HEART_DISEASE,8542,777,0.09096230391009132,0.06663590601576011,3649504.3094114796,3561.593610914488,education_binary,higher
2023_04_education_binary_higher,STROKE,8581,369,0.04300198112108146,0.03234568076796224,3664164.0893375967,3577.4891728138327,education_binary,higher
2023_04_education_binary_higher,CURRENT_ASTHMA,8549,925,0.10819978944905836,0.10943241439629983,3643976.495726198,3565.735889800462,education_binary,higher
2023_04_education_binary_higher,SKIN_CANCER,8550,1266,0.1480701754385965,0.0951750691768985,3656644.2154618376,3566.9374458673537,education_binary,higher
2023_04_education_binary_higher,OTHER_CANCER,8557,1363,0.15928479607339022,0.11039515105561161,3655415.3555358974,3565.6020612016164,education_binary,higher
2023_04_education_binary_higher,COPD,8583,736,0.0857509029476873,0.05827607789067685,3661535.388307323,3581.0450514556683,education_binary,higher
2023_04_education_binary_higher,DEPRESSIVE_DISORDER,8580,1546,0.18018648018648017,0.17974192980364087,3661028.2068524486,3574.6364727005093,education_binary,higher
