graph_id,source_condition,target_condition,association,standard_error,p_value,n_complete,source_cases,target_cases,cooccurring_cases,weighted_n,kish_effective_n,weighted_source_prevalence,weighted_target_prevalence,weighted_joint_prevalence,estimator,inference_scope,pair_eligible,exclusion_reason,q_value,edge_present,ses_definition,ses_category
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,STROKE,0.21748672377575579,,,1561,208,122,46,1756558.5494697941,877.1092537089658,0.11235195480279928,0.062460438987214845,0.023637926159925483,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,0.08515564368202183,,,1549,207,152,29,1736803.6435482255,867.579132002256,0.11286618911139146,0.09565447064866364,0.018721347107870615,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,0.1488453335790429,,,1556,208,132,33,1749255.5432985225,874.143021627496,0.11282101549688864,0.06094444995818205,0.018141265439393546,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,0.14578671466035484,,,1560,206,178,40,1755392.7987358896,876.4397177115718,0.11106529837432619,0.07997905749964385,0.021308832691261253,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,COPD,0.21885692675301974,,,1557,207,213,63,1751548.9875632029,874.1195857685194,0.11238591899840797,0.12283882656023287,0.03649542610734638,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,0.07865840580247048,,,1560,207,342,65,1755234.4458942162,876.8390009106795,0.11226707545571259,0.24014751864821418,0.03756823685200516,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,0.19663137008410841,,,1551,203,86,29,1749742.0206496324,871.8822859183933,0.11052279701446827,0.04435570689305584,0.017595455835320437,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,ARTHRITIS,0.20237128271459523,,,1552,208,654,130,1744185.1229486573,872.7787991937024,0.11314899098833232,0.3208297347076893,0.06622601216862004,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,DIABETES,0.19299995336085127,,,1561,206,336,76,1756870.1390812178,877.315617309662,0.11168159072990273,0.16576879740167574,0.041119490378269556,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,STROKE,CURRENT_ASTHMA,0.03926263630168824,,,1564,126,156,17,1751207.7320276797,876.1579422649455,0.06367817460008728,0.09720941189701322,0.009030226866581802,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,STROKE,SKIN_CANCER,0.04004249458092233,,,1572,128,134,13,1767013.7535297181,882.9187574082214,0.06474425486522961,0.0625646361819057,0.006436984394087218,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,STROKE,OTHER_CANCER,0.0422978491025299,,,1574,127,180,23,1772479.9944096599,884.5955135792694,0.0642146695294054,0.0794539096912086,0.007906273920820732,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,STROKE,COPD,0.18858945863441925,,,1572,127,218,36,1768956.5977414805,882.5698681236202,0.06434257190584415,0.12597873258122805,0.02346026015676948,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,STROKE,DEPRESSIVE_DISORDER,0.05501660879859176,,,1575,128,346,32,1770654.5783183703,884.8689859454308,0.06461112755122803,0.24216057315980807,0.02144033974673636,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,STROKE,KIDNEY_DISEASE,0.12031436801070249,,,1565,126,88,14,1767211.4308606628,880.3476977848951,0.06427223783110762,0.04633537074914523,0.009180454405455004,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,STROKE,ARTHRITIS,0.15992644475325588,,,1568,127,662,81,1762177.5048473303,881.7272930490973,0.06485282531093799,0.32263275119248047,0.039335224598531476,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,STROKE,DIABETES,0.08948282656577003,,,1577,128,344,41,1774862.5209798906,886.2642964547928,0.0644579439007661,0.16907153632684296,0.019134199039696907,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,CURRENT_ASTHMA,SKIN_CANCER,0.0004693203337102718,,,1559,156,132,12,1744988.6941025953,873.6375563538381,0.09755586057103949,0.06117191997625135,0.006001050763843363,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,CURRENT_ASTHMA,OTHER_CANCER,0.05279988831488999,,,1561,154,180,19,1749136.7950688722,874.6938023429669,0.09622255381545068,0.08093158417131083,0.012033982886440017,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,CURRENT_ASTHMA,COPD,0.21423391835121275,,,1560,155,214,61,1747337.2613861985,873.6480069077389,0.09713836022813685,0.12426720185051007,0.033000584741556184,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,0.2573492743700117,,,1563,155,340,69,1749035.241963088,875.9533668629768,0.0958594888443835,0.2376073077090496,0.05502305437966644,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,CURRENT_ASTHMA,KIDNEY_DISEASE,0.05058260415506554,,,1553,153,89,14,1745592.0945053808,871.4200780691244,0.09643572304943708,0.04734470009081024,0.007736771628512322,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,CURRENT_ASTHMA,ARTHRITIS,0.15047082965813202,,,1557,155,658,99,1742274.6611615708,873.7970976398084,0.09746191154605692,0.3230386063756938,0.052353444144038606,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,CURRENT_ASTHMA,DIABETES,0.04866974086180228,,,1565,156,341,45,1753243.1846246086,877.3456223984774,0.09709655524847358,0.16953739776524002,0.021868721749606957,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,SKIN_CANCER,OTHER_CANCER,0.22786586409053888,,,1569,132,177,47,1764767.6069616873,881.3085291590456,0.06129022902991371,0.07598116863428518,0.019139083745468494,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,SKIN_CANCER,COPD,0.09998226237445529,,,1567,134,215,27,1762737.5598163959,880.0461975881916,0.06271641062071964,0.12492215122951646,0.015849458719385895,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,SKIN_CANCER,DEPRESSIVE_DISORDER,0.009779295615057157,,,1570,134,347,24,1764435.540393286,882.3472360934123,0.06265605633480308,0.2439911125589559,0.01630538323239689,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,SKIN_CANCER,KIDNEY_DISEASE,0.10004254530149954,,,1560,132,89,14,1760992.3929355782,877.822254056307,0.0619881723753769,0.047477922199985596,0.008073179697152334,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,SKIN_CANCER,ARTHRITIS,0.13436582405388137,,,1563,133,659,76,1755958.4669222457,879.207013694561,0.06279029051268462,0.3202344941952315,0.035315440732916904,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,SKIN_CANCER,DIABETES,0.10961348847010612,,,1572,134,342,38,1768643.4830548062,883.7416092371759,0.06250698553846684,0.1671826643556337,0.020351169560335777,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,OTHER_CANCER,COPD,0.06795785476216643,,,1570,179,216,33,1767470.4325030684,881.6063568023275,0.07973331135033888,0.1250932696650354,0.016064058136582723,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,OTHER_CANCER,DEPRESSIVE_DISORDER,-0.034094914219007025,,,1573,180,345,28,1768871.4651323245,883.6727130491842,0.08004047828060021,0.24137651985926992,0.015360856103496578,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,OTHER_CANCER,KIDNEY_DISEASE,0.09630819127741796,,,1563,178,88,19,1765428.3176746166,879.1533681397452,0.07836508907985756,0.045701697012464924,0.008986623432954342,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,OTHER_CANCER,ARTHRITIS,0.18310882502353648,,,1566,180,663,116,1760394.391661284,880.5302622415696,0.08052585751025056,0.3231715071993672,0.04932616526195218,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,OTHER_CANCER,DIABETES,0.07602469415997287,,,1575,181,343,54,1773079.4077938446,885.0685109916784,0.08001845052244981,0.16833520373521843,0.021187854083740798,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,COPD,DEPRESSIVE_DISORDER,0.1911033722557227,,,1571,219,345,90,1766784.1076768888,882.3603694038148,0.12636327906530134,0.24225191994555964,0.05781621704047742,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,COPD,KIDNEY_DISEASE,0.103769607789193,,,1561,215,90,23,1763340.9602191816,877.8427453712371,0.12511222845128742,0.04764477477342791,0.013274074927261209,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,COPD,ARTHRITIS,0.26246518765558124,,,1565,217,661,149,1760201.1329587242,880.21445613995,0.12642461358711687,0.32223371809144746,0.08150099663294606,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,COPD,DIABETES,0.11540517304467336,,,1573,219,343,64,1770992.0503384094,883.7565980118935,0.12606303523714474,0.16906236251206627,0.035669620105960274,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,0.053161521514948,,,1565,345,90,30,1765326.7645688327,880.4019838868057,0.24268790314370933,0.047591179482809665,0.016401949470663667,weighted_phi,descriptive,True,,,False,education_binary,lower
2023_01_education_binary_lower,DEPRESSIVE_DISORDER,ARTHRITIS,0.15062712571338038,,,1568,347,663,193,1760292.8385555004,881.7904305701201,0.24437129175668293,0.32320302740709606,0.10925412019972443,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,DEPRESSIVE_DISORDER,DIABETES,0.14043320636113185,,,1577,348,345,105,1772977.854688061,886.3233256790138,0.24271021499654963,0.17022355658785632,0.06394242806945986,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,KIDNEY_DISEASE,ARTHRITIS,0.16345868178396414,,,1558,90,654,61,1756849.6910977927,877.2558151609618,0.047820814338365894,0.32126801294657437,0.03165095893234056,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,KIDNEY_DISEASE,DIABETES,0.17668541650829364,,,1567,89,342,40,1769534.7072303533,881.8001708945957,0.04698053192766137,0.16980772411520992,0.022014796852442606,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_lower,ARTHRITIS,DIABETES,0.24149590561180415,,,1570,663,343,204,1764500.7812170207,883.1823602373714,0.3221021085877503,0.16972508359686153,0.09703043820750355,weighted_phi,descriptive,True,,,True,education_binary,lower
2023_01_education_binary_higher,ISCHEMIC_HEART_DISEASE,STROKE,0.1443548648739349,,,2743,251,146,42,2221649.293995266,1573.3049377421712,0.06971989273028747,0.038299668721778576,0.00972585020518955,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,0.0313995348953869,,,2719,251,222,29,2201218.2404987817,1558.0989048336846,0.06995094089797776,0.0789892953265153,0.007685552753921063,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,0.07688693484847596,,,2737,251,301,46,2218491.5817626123,1570.0600732072899,0.06980822822425442,0.08110530709492941,0.011010534669927817,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,0.1380259603289446,,,2739,252,341,61,2218153.218771749,1570.1429284912133,0.06979466870930871,0.08661470200871452,0.015937244960258577,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,ISCHEMIC_HEART_DISEASE,COPD,0.11088450430172848,,,2736,253,199,46,2216932.2606329145,1568.6835712493953,0.07026541438427458,0.0586654602071372,0.010782308794958654,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,0.030793507634116524,,,2738,252,570,63,2213358.691418844,1567.754548478526,0.070007137010107,0.20980321854735515,0.01788694062653095,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,0.13626594167991615,,,2742,253,149,35,2221310.422130063,1572.981353056882,0.07012692256036128,0.04202213841254596,0.009928537856052057,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,ISCHEMIC_HEART_DISEASE,ARTHRITIS,0.19282439691125736,,,2737,253,1028,157,2215532.7943726997,1568.9912910500589,0.07030979832521221,0.2950769676216801,0.04323100732511053,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,ISCHEMIC_HEART_DISEASE,DIABETES,0.25254742435652455,,,2743,251,499,105,2220942.8263686355,1572.9605355180004,0.0699207133649878,0.14532303730039747,0.032858384651166236,weighted_phi,descriptive,True,,,True,education_binary,higher
