graph_id,state_code,ses_definition,ses_category,disease_a,disease_b,point_phi,p_phi_gt_zero,p_phi_ge_012,bootstrap_selection_mask,bootstrap_phi_median,bootstrap_phi_025,bootstrap_phi_975,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_status,bootstrap_message,pair_eligible,exclusion_reason,selection_stability_standard_error,selection_stability_wilson_low,selection_stability_wilson_high
2023_30_education_binary_higher,30,education_binary,higher,SKIN_CANCER,COPD,0.0549046123228407,0.998,0.002,b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0530710558642544,0.0151683034103425,0.0927275711388879,500,500,ok,,True,,0.0019979989989987483,0.00035313639455927456,0.011240706705146758
2023_30_education_binary_higher,30,education_binary,higher,SKIN_CANCER,DEPRESSIVE_DISORDER,-0.0230037651410813,0.054,0.0,b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-0.0226914250402351,-0.05065919040046,0.0082035405919684,500,500,ok,,True,,0.0,4.336808689942018e-19,0.007624340461552241
2023_30_education_binary_higher,30,education_binary,higher,SKIN_CANCER,DIABETES,0.0602416761846268,0.996,0.004,b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0587775506306998,0.0232296536515332,0.10142117384904,500,500,ok,,True,,0.002822764602300376,0.0010976305226827934,0.014465715215177033
2023_30_education_binary_higher,30,education_binary,higher,SKIN_CANCER,KIDNEY_DISEASE,0.0560723651601459,0.998,0.0,b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0547933228126533,0.0223406473041997,0.0904532880102566,500,500,ok,,True,,0.0,4.336808689942018e-19,0.007624340461552241
2023_30_education_binary_higher,30,education_binary,higher,SKIN_CANCER,OTHER_CANCER,0.220884703736537,1.0,1.0,b11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.21914811778227,0.174770888119952,0.264259094638196,500,500,ok,,True,,0.0,0.9923756595384479,1.0
2023_30_education_binary_higher,30,education_binary,higher,STROKE,ARTHRITIS,0.102371377291355,1.0,0.168,b00101100110010100010110000000000000000000001000001000010000001000000000000000000010000000000100100011001010001000000000001000000110000000111000010010000100000000101100000000100001100001000000000000000000000000011000000000010001000010110010010001101000110000000000010001000000000000000000010100000000000000000000000000000000000001000000000000000000000000011000000000001000000000000000011000100000000000100010010100011000000001000000100000000000000100100000000000000000110100010000000100010111000100100,0.103746992714833,0.0684136520392913,0.140480565356934,500,500,ok,,True,,0.016719808611344807,0.13778823297684417,0.20327432908962656
2023_30_education_binary_higher,30,education_binary,higher,STROKE,COPD,0.074802795351299,1.0,0.034,b00000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000001001000000000000000000000100000000000010000000000000000000000010000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000010000000000000000000000000001000100000000000000000000000000000001000000000000010000000001000000000000000000000000,0.0747653518085904,0.0314347893195683,0.12389078065061,500,500,ok,,True,,0.008104813384649889,0.02133451980853219,0.053771365501634506
2023_30_education_binary_higher,30,education_binary,higher,STROKE,CURRENT_ASTHMA,0.0384838939179184,0.988,0.0,b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0379157439814267,0.0031608140079313,0.0760990205836823,500,500,ok,,True,,0.0,4.336808689942018e-19,0.007624340461552241
2023_30_education_binary_higher,30,education_binary,higher,STROKE,DEPRESSIVE_DISORDER,0.0078357115385132,0.68,0.0,b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0077915841828487,-0.0210315921973451,0.0374739612064421,500,500,ok,,True,,0.0,4.336808689942018e-19,0.007624340461552241
2023_30_education_binary_higher,30,education_binary,higher,STROKE,DIABETES,0.0651047139325014,1.0,0.002,b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0661678407622468,0.0293424662326331,0.10715132694757,500,500,ok,,True,,0.0019979989989987483,0.00035313639455927456,0.011240706705146758
