geography_code,H1,H2,H3
1,0.9882546394174302,-0.09292929292929297,0.9882546394174302
2,0.00025148889717973156,0.003030303030303029,0.00025148889717973156
4,-0.9980200677875096,0.03434343434343434,0.001979932212490352
5,0.9974160206718347,0.9767676767676768,-0.002583979328165375
6,-0.999264830461654,-0.9794926004228329,0.0007351695383459422
8,-0.0018280299798047656,0.9705905205905205,0.9981719700201953
9,0.9991092036469235,-0.020599725477774222,-0.0008907963530765573
10,-0.0002922016535175922,-0.004379341588643913,-0.0002922016535175922
12,-1.0045035068290882,-1.0363636363636364,0.9954964931709118
13,0.9886304909560724,0.9151515151515152,-0.01136950904392765
15,-3.380372070105479e-05,-0.005013591060102689,-3.380372070105479e-05
16,0.9960896543426323,0.9420618141548374,0.9960896543426323
17,-0.00032485222203704455,-1.0131885658201447,-0.00032485222203704455
18,0.0,0.0,0.0
19,0.9975234068257324,-0.030303030303030276,-0.0024765931742676273
20,-1.0,-1.0,0.0
22,-0.011745360582569885,0.907070707070707,0.9882546394174302
23,-0.0043625625020973224,-0.027272727272727337,-0.0043625625020973224
24,-0.0013691734621967822,-0.019191919191919204,-0.001369173462196718
25,-0.9972449558382627,-0.9643410852713179,1.0027550441617372
26,-1.0,-1.0,0.0
27,-0.004792107117688513,-1.0727272727272728,0.9952078928823115
28,-0.0016692230098522848,-0.028860028860028857,0.9983307769901477
29,0.0008053961542333634,-0.9898989898989898,0.0008053961542333634
30,-0.003087351924561227,-0.045454545454545456,-0.0030873519245612213
31,-0.9980871841336958,-0.9787878787878788,0.0019128158663042384
33,0.9954360884593443,-0.0575757575757575,0.9954360884593443
34,-0.000369139904023625,-0.013131313131313133,0.9996308600959763
35,-0.00017598180405560874,-1.0093538472471442,-0.00017598180405560874
36,-0.004765260579214068,-0.06868686868686869,0.9952347394207859
37,0.9940818934012355,0.9376904937880547,-0.0059181065987645685
38,-0.9987133305340905,-0.9824994127319708,0.0012866694659093977
39,0.0,0.0,0.0
40,0.003389375482398738,-0.9666666666666667,-0.9966106245176013
41,-0.9972449558382627,-0.9643410852713179,0.0027550441617372984
44,0.00033001598514928064,0.006765327695560253,0.00033001598514928064
45,-1.0100003355817309,-1.0656565656565657,-0.010000335581730932
46,-6.711634618611362e-05,-0.00505050505050505,-6.711634618611362e-05
47,-0.011174871639987871,-0.05858585858585863,0.9888251283600121
48,-0.004563911540655727,0.9424242424242425,-0.004563911540655727
49,-0.006248531829927179,-0.06363636363636363,0.9937514681700729
50,-0.9995187266883239,-0.992600422832981,0.0004812733116760343
51,0.9937514681700729,0.9363636363636363,-1.006248531829927
53,-0.0033960871170173323,-0.025252525252525304,0.9966039128829827
54,0.9980804724990772,0.9868686868686868,-0.0019195275009228352
55,-1.0011074197120708,-1.011111111111111,0.9988925802879292
56,0.0007116536328107513,0.018942033576179917,0.0007116536328107513
