graph_id,source_condition,target_condition,association,standard_error,p_value,n_complete,source_cases,target_cases,cooccurring_cases,weighted_n,kish_effective_n,weighted_source_prevalence,weighted_target_prevalence,weighted_joint_prevalence,estimator,inference_scope,pair_eligible,exclusion_reason,q_value,edge_present,ses_definition,ses_category,point_phi,p_phi_gt_zero,p_phi_ge_012,bootstrap_phi_median,bootstrap_phi_025,bootstrap_phi_975,selection_stability_standard_error,selection_stability_wilson_low,selection_stability_wilson_high,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_status,bootstrap_message,rule_id,minimum_effect,association_scale
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,STROKE,0.21748672377575579,,,1561,208,122,46,1756558.5494697941,877.1092537089658,0.11235195480279928,0.062460438987214845,0.023637926159925483,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,lower,0.217486723775756,1.0,0.99,0.214785951124705,0.131768681418374,0.30383000029889,0.0044497190922574,0.9768069002442693,0.9957212461034096,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,0.08515564368202183,,,1549,207,152,29,1736803.6435482255,867.579132002256,0.11286618911139146,0.09565447064866364,0.018721347107870615,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.0851556436820218,0.992,0.192,0.0843158788198457,0.0112079341474892,0.164688011586851,0.017614539448989292,0.15987621859588308,0.22882037512843312,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,0.1488453335790429,,,1556,208,132,33,1749255.5432985225,874.143021627496,0.11282101549688864,0.06094444995818205,0.018141265439393546,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.148845333579043,1.0,0.758,0.147198964118335,0.0741112212109593,0.227767821192807,0.019153902996517445,0.7185836488729677,0.7934821914488713,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,0.14578671466035484,,,1560,206,178,40,1755392.7987358896,876.4397177115718,0.11106529837432619,0.07997905749964385,0.021308832691261253,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.145786714660355,1.0,0.746,0.145516907886144,0.0759847137061025,0.223061403162886,0.019467100451787882,0.7060690794081029,0.7821797450848135,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,COPD,0.21885692675301974,,,1557,207,213,63,1751548.9875632029,874.1195857685194,0.11238591899840797,0.12283882656023287,0.03649542610734638,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,lower,0.21885692675302,1.0,0.99,0.216571889273724,0.13927798210755,0.297694636895423,0.0044497190922574,0.9768069002442693,0.9957212461034096,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,0.07865840580247048,,,1560,207,342,65,1755234.4458942162,876.8390009106795,0.11226707545571259,0.24014751864821418,0.03756823685200516,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.0786584058024705,0.998,0.114,0.0791782206490396,0.0251187532808575,0.147306126787809,0.014212951839783319,0.08903690099400285,0.1448490898423155,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,0.19663137008410841,,,1551,203,86,29,1749742.0206496324,871.8822859183933,0.11052279701446827,0.04435570689305584,0.017595455835320437,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,lower,0.196631370084108,1.0,0.958,0.194298822363951,0.109938964016452,0.284840349432984,0.00897061870775924,0.9366484142456699,0.9723676898915483,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,ARTHRITIS,0.20237128271459523,,,1552,208,654,130,1744185.1229486573,872.7787991937024,0.11314899098833232,0.3208297347076893,0.06622601216862004,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,lower,0.202371282714595,1.0,0.994,0.2027458252347,0.144739022601298,0.265569245931385,0.0034536936748935927,0.9825097478959467,0.9979574037280398,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,ISCHEMIC_HEART_DISEASE,DIABETES,0.19299995336085127,,,1561,206,336,76,1756870.1390812178,877.315617309662,0.11168159072990273,0.16576879740167574,0.041119490378269556,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,lower,0.192999953360851,1.0,0.98,0.19388412889639,0.122960739502191,0.265515618403124,0.006260990336999414,0.9635798167531208,0.9891008164037892,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,STROKE,CURRENT_ASTHMA,0.03926263630168824,,,1564,126,156,17,1751207.7320276797,876.1579422649455,0.06367817460008728,0.09720941189701322,0.009030226866581802,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.0392626363016882,0.862,0.02,0.0356330731056054,-0.0282533019132822,0.114077540028638,0.006260990336999411,0.010899183596210813,0.036420183246879345,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,STROKE,SKIN_CANCER,0.04004249458092233,,,1572,128,134,13,1767013.7535297181,882.9187574082214,0.06474425486522961,0.0625646361819057,0.006436984394087218,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.0400424945809223,0.876,0.022,0.036303826797488,-0.0221436901306473,0.118729253757172,0.006559878047646922,0.012328008269927582,0.03896086121131637,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,STROKE,OTHER_CANCER,0.0422978491025299,,,1574,127,180,23,1772479.9944096599,884.5955135792694,0.0642146695294054,0.0794539096912086,0.007906273920820732,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.0422978491025299,0.946,0.008,0.039847491227072,-0.010897470110809,0.100944733785568,0.003983967871356395,0.00311531518006224,0.020387035834105168,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,STROKE,COPD,0.18858945863441925,,,1572,127,218,36,1768956.5977414805,882.5698681236202,0.06434257190584415,0.12597873258122805,0.02346026015676948,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,lower,0.188589458634419,1.0,0.932,0.186595719926527,0.104207528372961,0.273710218322095,0.01125841907196565,0.9064790772661258,0.9509334925750932,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,STROKE,DEPRESSIVE_DISORDER,0.05501660879859176,,,1575,128,346,32,1770654.5783183703,884.8689859454308,0.06461112755122803,0.24216057315980807,0.02144033974673636,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.0550166087985918,0.952,0.02,0.0555242358269195,-0.0098510066387455,0.116010029025577,0.006260990336999411,0.010899183596210813,0.036420183246879345,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,STROKE,KIDNEY_DISEASE,0.12031436801070249,,,1565,126,88,14,1767211.4308606628,880.3476977848951,0.06427223783110762,0.04633537074914523,0.009180454405455004,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.120314368010702,0.996,0.48,0.117496252699261,0.0320816994047564,0.205906283003195,0.022342784070030305,0.43652842657373225,0.5237765470447299,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,STROKE,ARTHRITIS,0.15992644475325588,,,1568,127,662,81,1762177.5048473303,881.7272930490973,0.06485282531093799,0.32263275119248047,0.039335224598531476,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,lower,0.159926444753256,1.0,0.91,0.157873383616315,0.0971777842000981,0.224504932429562,0.012798437404620923,0.8816905887106666,0.9320574521108606,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,STROKE,DIABETES,0.08948282656577003,,,1577,128,344,41,1774862.5209798906,886.2642964547928,0.0644579439007661,0.16907153632684296,0.019134199039696907,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.08948282656577,0.998,0.208,0.0878376151048146,0.0271062931734036,0.16053733642077,0.018151363585141474,0.17471631170962926,0.24573630311991723,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,CURRENT_ASTHMA,SKIN_CANCER,0.0004693203337102718,,,1559,156,132,12,1744988.6941025953,873.6375563538381,0.09755586057103949,0.06117191997625135,0.006001050763843363,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.0004693203337102,0.468,0.0,-0.0019809134720642,-0.0478288862701579,0.0550974144150127,0.0,4.336808689942018e-19,0.007624340461552241,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,CURRENT_ASTHMA,OTHER_CANCER,0.05279988831488999,,,1561,154,180,19,1749136.7950688722,874.6938023429669,0.09622255381545068,0.08093158417131083,0.012033982886440017,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.05279988831489,0.942,0.04,0.0529499473278922,-0.0120347626752356,0.126505510771859,0.008763560920082658,0.026040797389777257,0.060973595834850805,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,CURRENT_ASTHMA,COPD,0.21423391835121275,,,1560,155,214,61,1747337.2613861985,873.6480069077389,0.09713836022813685,0.12426720185051007,0.033000584741556184,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,lower,0.214233918351213,1.0,0.99,0.213032052952226,0.139273228367862,0.294460994407598,0.0044497190922574,0.9768069002442693,0.9957212461034096,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,0.2573492743700117,,,1563,155,340,69,1749035.241963088,875.9533668629768,0.0958594888443835,0.2376073077090496,0.05502305437966644,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,lower,0.257349274370012,1.0,1.0,0.25860341607631,0.181004748389769,0.329445303645203,0.0,0.9923756595384479,1.0,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,CURRENT_ASTHMA,KIDNEY_DISEASE,0.05058260415506554,,,1553,153,89,14,1745592.0945053808,871.4200780691244,0.09643572304943708,0.04734470009081024,0.007736771628512322,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.0505826041550655,0.912,0.03,0.046813374100723,-0.018884731841694,0.121016981904666,0.00762889244910426,0.018263213197913384,0.04890366683594573,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,CURRENT_ASTHMA,ARTHRITIS,0.15047082965813202,,,1557,155,658,99,1742274.6611615708,873.7970976398084,0.09746191154605692,0.3230386063756938,0.052353444144038606,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.150470829658132,1.0,0.834,0.151384060592413,0.0848092852736714,0.216895825397329,0.016639951923007473,0.7988646838026932,0.8640422567689898,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,CURRENT_ASTHMA,DIABETES,0.04866974086180228,,,1565,156,341,45,1753243.1846246086,877.3456223984774,0.09709655524847358,0.16953739776524002,0.021868721749606957,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.0486697408618023,0.956,0.02,0.0495169950347528,-0.0083187514249352,0.116221111897824,0.006260990336999411,0.010899183596210813,0.036420183246879345,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,SKIN_CANCER,OTHER_CANCER,0.22786586409053888,,,1569,132,177,47,1764767.6069616873,881.3085291590456,0.06129022902991371,0.07598116863428518,0.019139083745468494,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,lower,0.227865864090539,1.0,0.992,0.229849810328936,0.141823457753409,0.3136823535027,0.003983967871356396,0.9796129641658948,0.9968846848199377,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_01_education_binary_lower,SKIN_CANCER,COPD,0.09998226237445529,,,1567,134,215,27,1762737.5598163959,880.0461975881916,0.06271641062071964,0.12492215122951646,0.015849458719385895,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,lower,0.0999822623744553,1.0,0.276,0.0968110746642539,0.0230980933603475,0.172228705708262,0.01999119806314769,0.23863813294339814,0.31677757158337744,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
