graph_id,geography_code,ses_category,rule_id,threshold,edge_count,density,component_count,isolate_count,transitivity
2024_15_education_binary_lower,15,lower,phi_012,0.12,19,0.4222222222222222,1,0,0.5454545454545454
2024_15_education_binary_lower,15,lower,phi_014,0.14,12,0.26666666666666666,1,0,0.25
2024_16_education_binary_higher,16,higher,phi_010,0.1,21,0.4666666666666667,1,0,0.5294117647058824
2024_16_education_binary_higher,16,higher,phi_012,0.12,17,0.37777777777777777,1,0,0.5172413793103449
2024_16_education_binary_higher,16,higher,phi_014,0.14,15,0.3333333333333333,1,0,0.4090909090909091
2024_16_education_binary_lower,16,lower,phi_010,0.1,27,0.6,1,0,0.656934306569343
2024_16_education_binary_lower,16,lower,phi_012,0.12,24,0.5333333333333333,1,0,0.6226415094339622
2024_16_education_binary_lower,16,lower,phi_014,0.14,18,0.4,1,0,0.5084745762711864
2024_17_education_binary_higher,17,higher,phi_010,0.1,21,0.4666666666666667,1,0,0.5730337078651685
2024_17_education_binary_higher,17,higher,phi_012,0.12,17,0.37777777777777777,1,0,0.5263157894736842
2024_17_education_binary_higher,17,higher,phi_014,0.14,13,0.28888888888888886,2,1,0.4166666666666667
2024_17_education_binary_lower,17,lower,phi_010,0.1,26,0.5777777777777777,1,0,0.6666666666666666
2024_17_education_binary_lower,17,lower,phi_012,0.12,19,0.4222222222222222,1,0,0.5217391304347826
2024_17_education_binary_lower,17,lower,phi_014,0.14,13,0.28888888888888886,1,0,0.3870967741935484
2024_18_education_binary_higher,18,higher,phi_010,0.1,25,0.5555555555555556,1,0,0.6942148760330579
2024_18_education_binary_higher,18,higher,phi_012,0.12,18,0.4,1,0,0.6
2024_18_education_binary_higher,18,higher,phi_014,0.14,13,0.28888888888888886,2,1,0.5833333333333334
2024_18_education_binary_lower,18,lower,phi_010,0.1,29,0.6444444444444445,1,0,0.7358490566037735
2024_18_education_binary_lower,18,lower,phi_012,0.12,26,0.5777777777777777,1,0,0.6796875
2024_18_education_binary_lower,18,lower,phi_014,0.14,17,0.37777777777777777,1,0,0.5263157894736842
2024_19_education_binary_higher,19,higher,phi_010,0.1,17,0.37777777777777777,1,0,0.5263157894736842
2024_19_education_binary_higher,19,higher,phi_012,0.12,15,0.3333333333333333,1,0,0.5581395348837209
2024_19_education_binary_higher,19,higher,phi_014,0.14,11,0.24444444444444444,2,1,0.375
2024_19_education_binary_lower,19,lower,phi_010,0.1,22,0.4888888888888889,1,0,0.6333333333333333
2024_19_education_binary_lower,19,lower,phi_012,0.12,19,0.4222222222222222,1,0,0.582089552238806
2024_19_education_binary_lower,19,lower,phi_014,0.14,17,0.37777777777777777,1,0,0.5769230769230769
2024_20_education_binary_higher,20,higher,phi_010,0.1,22,0.4888888888888889,1,0,0.6063829787234043
2024_20_education_binary_higher,20,higher,phi_012,0.12,16,0.35555555555555557,1,0,0.574468085106383
2024_20_education_binary_higher,20,higher,phi_014,0.14,13,0.28888888888888886,1,0,0.42857142857142855
2024_20_education_binary_lower,20,lower,phi_010,0.1,25,0.5555555555555556,1,0,0.7058823529411765
2024_20_education_binary_lower,20,lower,phi_012,0.12,22,0.4888888888888889,1,0,0.6195652173913043
2024_20_education_binary_lower,20,lower,phi_014,0.14,17,0.37777777777777777,1,0,0.6
2024_21_education_binary_higher,21,higher,phi_010,0.1,22,0.4888888888888889,1,0,0.6195652173913043
2024_21_education_binary_higher,21,higher,phi_012,0.12,19,0.4222222222222222,1,0,0.5571428571428572
2024_21_education_binary_higher,21,higher,phi_014,0.14,15,0.3333333333333333,1,0,0.5581395348837209
2024_21_education_binary_lower,21,lower,phi_010,0.1,31,0.6888888888888889,1,0,0.770949720670391
