ses_definition,rule_id,source_condition,target_condition,graph_count,support_count,support_fraction
education_binary,phi_012,SKIN_CANCER,KIDNEY_DISEASE,94,5,0.05319148936170213
education_binary,phi_012,SKIN_CANCER,ARTHRITIS,94,77,0.8191489361702128
education_binary,phi_012,SKIN_CANCER,DIABETES,94,3,0.031914893617021274
education_binary,phi_012,OTHER_CANCER,COPD,94,35,0.3723404255319149
education_binary,phi_012,OTHER_CANCER,DEPRESSIVE_DISORDER,94,0,0.0
education_binary,phi_012,OTHER_CANCER,KIDNEY_DISEASE,94,28,0.2978723404255319
education_binary,phi_012,OTHER_CANCER,ARTHRITIS,94,90,0.9574468085106383
education_binary,phi_012,OTHER_CANCER,DIABETES,94,12,0.1276595744680851
education_binary,phi_012,COPD,DEPRESSIVE_DISORDER,94,38,0.40425531914893614
education_binary,phi_012,COPD,KIDNEY_DISEASE,94,23,0.24468085106382978
education_binary,phi_012,COPD,ARTHRITIS,94,94,1.0
education_binary,phi_012,COPD,DIABETES,94,29,0.30851063829787234
education_binary,phi_012,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,94,1,0.010638297872340425
education_binary,phi_012,DEPRESSIVE_DISORDER,ARTHRITIS,94,40,0.425531914893617
education_binary,phi_012,DEPRESSIVE_DISORDER,DIABETES,94,0,0.0
education_binary,phi_012,KIDNEY_DISEASE,ARTHRITIS,94,81,0.8617021276595744
education_binary,phi_012,KIDNEY_DISEASE,DIABETES,94,91,0.9680851063829787
education_binary,phi_012,ARTHRITIS,DIABETES,94,94,1.0
education_binary,phi_012_stable,ISCHEMIC_HEART_DISEASE,STROKE,94,83,0.8829787234042553
education_binary,phi_012_stable,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,94,1,0.010638297872340425
education_binary,phi_012_stable,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,94,1,0.010638297872340425
education_binary,phi_012_stable,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,94,4,0.0425531914893617
education_binary,phi_012_stable,ISCHEMIC_HEART_DISEASE,COPD,94,61,0.648936170212766
education_binary,phi_012_stable,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,94,0,0.0
education_binary,phi_012_stable,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,94,48,0.5106382978723404
education_binary,phi_012_stable,ISCHEMIC_HEART_DISEASE,ARTHRITIS,94,84,0.8936170212765957
education_binary,phi_012_stable,ISCHEMIC_HEART_DISEASE,DIABETES,94,75,0.7978723404255319
education_binary,phi_012_stable,STROKE,CURRENT_ASTHMA,94,0,0.0
education_binary,phi_012_stable,STROKE,SKIN_CANCER,94,0,0.0
education_binary,phi_012_stable,STROKE,OTHER_CANCER,94,0,0.0
education_binary,phi_012_stable,STROKE,COPD,94,9,0.09574468085106383
education_binary,phi_012_stable,STROKE,DEPRESSIVE_DISORDER,94,0,0.0
education_binary,phi_012_stable,STROKE,KIDNEY_DISEASE,94,2,0.02127659574468085
education_binary,phi_012_stable,STROKE,ARTHRITIS,94,17,0.18085106382978725
education_binary,phi_012_stable,STROKE,DIABETES,94,8,0.0851063829787234
education_binary,phi_012_stable,CURRENT_ASTHMA,SKIN_CANCER,94,0,0.0
education_binary,phi_012_stable,CURRENT_ASTHMA,OTHER_CANCER,94,0,0.0
education_binary,phi_012_stable,CURRENT_ASTHMA,COPD,94,80,0.851063829787234
education_binary,phi_012_stable,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,94,45,0.4787234042553192
education_binary,phi_012_stable,CURRENT_ASTHMA,KIDNEY_DISEASE,94,0,0.0
education_binary,phi_012_stable,CURRENT_ASTHMA,ARTHRITIS,94,14,0.14893617021276595
education_binary,phi_012_stable,CURRENT_ASTHMA,DIABETES,94,0,0.0
education_binary,phi_012_stable,SKIN_CANCER,OTHER_CANCER,94,93,0.9893617021276596
education_binary,phi_012_stable,SKIN_CANCER,COPD,94,0,0.0
education_binary,phi_012_stable,SKIN_CANCER,DEPRESSIVE_DISORDER,94,0,0.0
education_binary,phi_012_stable,SKIN_CANCER,KIDNEY_DISEASE,94,0,0.0
education_binary,phi_012_stable,SKIN_CANCER,ARTHRITIS,94,34,0.3617021276595745
education_binary,phi_012_stable,SKIN_CANCER,DIABETES,94,0,0.0
education_binary,phi_012_stable,OTHER_CANCER,COPD,94,5,0.05319148936170213
education_binary,phi_012_stable,OTHER_CANCER,DEPRESSIVE_DISORDER,94,0,0.0
education_binary,phi_012_stable,OTHER_CANCER,KIDNEY_DISEASE,94,5,0.05319148936170213
education_binary,phi_012_stable,OTHER_CANCER,ARTHRITIS,94,68,0.723404255319149
education_binary,phi_012_stable,OTHER_CANCER,DIABETES,94,3,0.031914893617021274
education_binary,phi_012_stable,COPD,DEPRESSIVE_DISORDER,94,15,0.1595744680851064
education_binary,phi_012_stable,COPD,KIDNEY_DISEASE,94,3,0.031914893617021274
education_binary,phi_012_stable,COPD,ARTHRITIS,94,86,0.9148936170212766
education_binary,phi_012_stable,COPD,DIABETES,94,6,0.06382978723404255
education_binary,phi_012_stable,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,94,0,0.0
education_binary,phi_012_stable,DEPRESSIVE_DISORDER,ARTHRITIS,94,17,0.18085106382978725
education_binary,phi_012_stable,DEPRESSIVE_DISORDER,DIABETES,94,0,0.0
education_binary,phi_012_stable,KIDNEY_DISEASE,ARTHRITIS,94,45,0.4787234042553192
education_binary,phi_012_stable,KIDNEY_DISEASE,DIABETES,94,68,0.723404255319149
education_binary,phi_012_stable,ARTHRITIS,DIABETES,94,77,0.8191489361702128
education_binary,phi_014,ISCHEMIC_HEART_DISEASE,STROKE,94,90,0.9574468085106383
education_binary,phi_014,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,94,2,0.02127659574468085
education_binary,phi_014,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,94,8,0.0851063829787234
education_binary,phi_014,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,94,17,0.18085106382978725
education_binary,phi_014,ISCHEMIC_HEART_DISEASE,COPD,94,74,0.7872340425531915
education_binary,phi_014,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,94,1,0.010638297872340425
education_binary,phi_014,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,94,65,0.6914893617021277
education_binary,phi_014,ISCHEMIC_HEART_DISEASE,ARTHRITIS,94,89,0.9468085106382979
education_binary,phi_014,ISCHEMIC_HEART_DISEASE,DIABETES,94,85,0.9042553191489362
education_binary,phi_014,STROKE,CURRENT_ASTHMA,94,1,0.010638297872340425
education_binary,phi_014,STROKE,SKIN_CANCER,94,1,0.010638297872340425
education_binary,phi_014,STROKE,OTHER_CANCER,94,3,0.031914893617021274
education_binary,phi_014,STROKE,COPD,94,18,0.19148936170212766
