graph_id,year,geography_code,geography,ses_category,n_unweighted,weighted_population_estimate,kish_effective_n,node_count,edge_count,density,component_count,isolate_count,mean_degree,maximum_degree,transitivity,population_graph_id,ses_definition,rule_id
2024_05_education_binary_lower__phi_012,2024,5,Arkansas,lower,2106,1126305.92440219,1269.5956544170654,10,25,0.5555555555555556,1,0,5.0,8,0.675,2024_05_education_binary_lower,education_binary,phi_012
2024_05_education_binary_lower__phi_012_stable,2024,5,Arkansas,lower,2106,1126305.92440219,1269.5956544170654,10,15,0.3333333333333333,2,0,3.0,6,0.5714285714285714,2024_05_education_binary_lower,education_binary,phi_012_stable
2024_05_education_binary_lower__phi_014,2024,5,Arkansas,lower,2106,1126305.92440219,1269.5956544170654,10,18,0.4,2,0,3.6,7,0.65625,2024_05_education_binary_lower,education_binary,phi_014
2024_06_education_binary_higher__phi_010,2024,6,California,higher,5797,19041264.215503752,2679.125435867049,10,23,0.5111111111111111,1,0,4.6,9,0.6116504854368932,2024_06_education_binary_higher,education_binary,phi_010
2024_06_education_binary_higher__phi_012,2024,6,California,higher,5797,19041264.215503752,2679.125435867049,10,20,0.4444444444444444,1,0,4.0,8,0.6153846153846154,2024_06_education_binary_higher,education_binary,phi_012
2024_06_education_binary_higher__phi_012_stable,2024,6,California,higher,5797,19041264.215503752,2679.125435867049,10,15,0.3333333333333333,2,1,3.0,6,0.6,2024_06_education_binary_higher,education_binary,phi_012_stable
2024_06_education_binary_higher__phi_014,2024,6,California,higher,5797,19041264.215503752,2679.125435867049,10,16,0.35555555555555557,2,1,3.2,7,0.6666666666666666,2024_06_education_binary_higher,education_binary,phi_014
2024_06_education_binary_lower__phi_010,2024,6,California,lower,2536,11454238.772285284,1471.1327463442656,10,17,0.37777777777777777,1,0,3.4,6,0.46153846153846156,2024_06_education_binary_lower,education_binary,phi_010
2024_06_education_binary_lower__phi_012,2024,6,California,lower,2536,11454238.772285284,1471.1327463442656,10,15,0.3333333333333333,1,0,3.0,6,0.43902439024390244,2024_06_education_binary_lower,education_binary,phi_012
2024_06_education_binary_lower__phi_012_stable,2024,6,California,lower,2536,11454238.772285284,1471.1327463442656,10,7,0.15555555555555556,3,2,1.4,3,0.0,2024_06_education_binary_lower,education_binary,phi_012_stable
2024_06_education_binary_lower__phi_014,2024,6,California,lower,2536,11454238.772285284,1471.1327463442656,10,13,0.28888888888888886,1,0,2.6,5,0.41379310344827586,2024_06_education_binary_lower,education_binary,phi_014
2024_08_education_binary_higher__phi_010,2024,8,Colorado,higher,8211,3308692.8095656955,6048.286811060391,10,20,0.4444444444444444,1,0,4.0,7,0.6623376623376623,2024_08_education_binary_higher,education_binary,phi_010
2024_08_education_binary_higher__phi_012,2024,8,Colorado,higher,8211,3308692.8095656955,6048.286811060391,10,16,0.35555555555555557,1,0,3.2,6,0.5,2024_08_education_binary_higher,education_binary,phi_012
2024_08_education_binary_higher__phi_012_stable,2024,8,Colorado,higher,8211,3308692.8095656955,6048.286811060391,10,12,0.26666666666666666,2,1,2.4,5,0.41379310344827586,2024_08_education_binary_higher,education_binary,phi_012_stable
2024_08_education_binary_higher__phi_014,2024,8,Colorado,higher,8211,3308692.8095656955,6048.286811060391,10,12,0.26666666666666666,2,1,2.4,5,0.41379310344827586,2024_08_education_binary_higher,education_binary,phi_014
2024_08_education_binary_lower__phi_010,2024,8,Colorado,lower,2617,1407667.44185125,1957.9174540389397,10,28,0.6222222222222222,1,0,5.6,9,0.7297297297297297,2024_08_education_binary_lower,education_binary,phi_010
2024_08_education_binary_lower__phi_012,2024,8,Colorado,lower,2617,1407667.44185125,1957.9174540389397,10,22,0.4888888888888889,1,0,4.4,9,0.574468085106383,2024_08_education_binary_lower,education_binary,phi_012
2024_08_education_binary_lower__phi_012_stable,2024,8,Colorado,lower,2617,1407667.44185125,1957.9174540389397,10,10,0.2222222222222222,1,0,2.0,5,0.0,2024_08_education_binary_lower,education_binary,phi_012_stable
2024_08_education_binary_lower__phi_014,2024,8,Colorado,lower,2617,1407667.44185125,1957.9174540389397,10,17,0.37777777777777777,1,0,3.4,7,0.39622641509433965,2024_08_education_binary_lower,education_binary,phi_014
2024_09_education_binary_higher__phi_010,2024,9,Connecticut,higher,5193,1863915.277963453,2734.0464334665076,10,17,0.37777777777777777,1,0,3.4,6,0.55,2024_09_education_binary_higher,education_binary,phi_010
2024_09_education_binary_higher__phi_012,2024,9,Connecticut,higher,5193,1863915.277963453,2734.0464334665076,10,12,0.26666666666666666,2,1,2.4,6,0.41379310344827586,2024_09_education_binary_higher,education_binary,phi_012
2024_09_education_binary_higher__phi_012_stable,2024,9,Connecticut,higher,5193,1863915.277963453,2734.0464334665076,10,7,0.15555555555555556,4,2,1.4,4,0.3333333333333333,2024_09_education_binary_higher,education_binary,phi_012_stable
2024_09_education_binary_higher__phi_014,2024,9,Connecticut,higher,5193,1863915.277963453,2734.0464334665076,10,11,0.24444444444444444,2,1,2.2,6,0.36,2024_09_education_binary_higher,education_binary,phi_014
2024_09_education_binary_lower__phi_010,2024,9,Connecticut,lower,1958,1038049.0971058925,996.1355979004968,10,24,0.5333333333333333,1,0,4.8,9,0.6055045871559633,2024_09_education_binary_lower,education_binary,phi_010
2024_09_education_binary_lower__phi_012,2024,9,Connecticut,lower,1958,1038049.0971058925,996.1355979004968,10,17,0.37777777777777777,1,0,3.4,6,0.4117647058823529,2024_09_education_binary_lower,education_binary,phi_012
2024_09_education_binary_lower__phi_012_stable,2024,9,Connecticut,lower,1958,1038049.0971058925,996.1355979004968,10,8,0.17777777777777778,4,3,1.6,4,0.42857142857142855,2024_09_education_binary_lower,education_binary,phi_012_stable
2024_09_education_binary_lower__phi_014,2024,9,Connecticut,lower,1958,1038049.0971058925,996.1355979004968,10,13,0.28888888888888886,2,1,2.6,5,0.45454545454545453,2024_09_education_binary_lower,education_binary,phi_014
2024_10_education_binary_higher__phi_010,2024,10,Delaware,higher,2995,511371.640078207,1375.0261659242403,10,25,0.5555555555555556,1,0,5.0,8,0.6724137931034483,2024_10_education_binary_higher,education_binary,phi_010
2024_10_education_binary_higher__phi_012,2024,10,Delaware,higher,2995,511371.640078207,1375.0261659242403,10,20,0.4444444444444444,1,0,4.0,7,0.4583333333333333,2024_10_education_binary_higher,education_binary,phi_012
2024_10_education_binary_higher__phi_012_stable,2024,10,Delaware,higher,2995,511371.640078207,1375.0261659242403,10,10,0.2222222222222222,2,0,2.0,4,0.17647058823529413,2024_10_education_binary_higher,education_binary,phi_012_stable
2024_10_education_binary_higher__phi_014,2024,10,Delaware,higher,2995,511371.640078207,1375.0261659242403,10,12,0.26666666666666666,1,0,2.4,4,0.24,2024_10_education_binary_higher,education_binary,phi_014
