graph_id,year,geography_code,geography,ses_definition,ses_category,n_unweighted,weighted_population_estimate,kish_effective_n,n_strata,n_psu,eligibility_status,stratum_eligibility_status
2024_01_education_binary_lower,2024,1,Alabama,education_binary,lower,1747,1767123.4791202508,1029.0643566588815,32,1747,eligible,eligible
2024_01_education_binary_higher,2024,1,Alabama,education_binary,higher,3331,2289224.873411157,2127.1728106886994,32,3331,eligible,eligible
2024_02_education_binary_lower,2024,2,Alaska,education_binary,lower,1665,213654.9352923655,751.919291347211,32,1665,eligible,eligible
2024_02_education_binary_higher,2024,2,Alaska,education_binary,higher,3800,346527.81918179826,1563.6091266389528,34,3800,eligible,eligible
2024_04_education_binary_lower,2024,4,Arizona,education_binary,lower,2555,2192780.438675736,777.6595660941617,40,2555,eligible,eligible
2024_04_education_binary_higher,2024,4,Arizona,education_binary,higher,5993,3760062.140502301,1895.3198772378423,41,5993,eligible,eligible
2024_05_education_binary_lower,2024,5,Arkansas,education_binary,lower,2106,1126305.92440219,1269.5956544170654,17,2106,eligible,eligible
2024_05_education_binary_higher,2024,5,Arkansas,education_binary,higher,3210,1273916.8807018145,1995.8277397641612,16,3210,eligible,eligible
2024_06_education_binary_lower,2024,6,California,education_binary,lower,2536,11454238.772285284,1471.1327463442656,28,2536,eligible,eligible
2024_06_education_binary_higher,2024,6,California,education_binary,higher,5797,19041264.215503752,2679.125435867049,27,5797,eligible,eligible
2024_08_education_binary_lower,2024,8,Colorado,education_binary,lower,2617,1407667.44185125,1957.9174540389397,45,2617,eligible,eligible
2024_08_education_binary_higher,2024,8,Colorado,education_binary,higher,8211,3308692.8095656955,6048.286811060391,55,8211,eligible,eligible
2024_09_education_binary_lower,2024,9,Connecticut,education_binary,lower,1958,1038049.0971058925,996.1355979004968,35,1958,eligible,eligible
2024_09_education_binary_higher,2024,9,Connecticut,education_binary,higher,5193,1863915.277963453,2734.0464334665076,40,5193,eligible,eligible
2024_10_education_binary_lower,2024,10,Delaware,education_binary,lower,1349,328777.7729671034,650.6073209753836,12,1349,eligible,eligible
2024_10_education_binary_higher,2024,10,Delaware,education_binary,higher,2995,511371.640078207,1375.0261659242403,13,2995,eligible,eligible
2024_11_education_binary_lower,2024,11,District of Columbia,education_binary,lower,596,123663.77617232001,340.3222175320675,5,596,insufficient sample,insufficient sample
2024_11_education_binary_higher,2024,11,District of Columbia,education_binary,higher,2583,438718.5468601504,1695.3378392803218,5,2583,paired SES stratum ineligible,eligible
2024_12_education_binary_lower,2024,12,Florida,education_binary,lower,4379,7329115.894313465,1036.7520276736052,210,4379,eligible,eligible
2024_12_education_binary_higher,2024,12,Florida,education_binary,higher,8633,11390032.978743833,2188.1128781209063,240,8633,eligible,eligible
2024_13_education_binary_lower,2024,13,Georgia,education_binary,lower,2418,3484176.061540573,1060.5229114708488,83,2418,eligible,eligible
2024_13_education_binary_higher,2024,13,Georgia,education_binary,higher,4805,5204231.645053592,2222.9533787684472,93,4805,eligible,eligible
2024_15_education_binary_lower,2024,15,Hawaii,education_binary,lower,1885,402229.0328515718,960.574840331935,16,1885,eligible,eligible
2024_15_education_binary_higher,2024,15,Hawaii,education_binary,higher,4732,731598.5682446372,2245.814417034935,16,4732,eligible,eligible
2024_16_education_binary_lower,2024,16,Idaho,education_binary,lower,1637,566753.3904621894,846.2559953542789,28,1637,eligible,eligible
2024_16_education_binary_higher,2024,16,Idaho,education_binary,higher,2693,977261.9832890714,1441.908508084135,28,2693,eligible,eligible
2024_17_education_binary_lower,2024,17,Illinois,education_binary,lower,3682,3609283.8245509714,2347.6554468819745,50,3682,eligible,eligible
2024_17_education_binary_higher,2024,17,Illinois,education_binary,higher,8264,6242711.3661557175,5195.347463432801,53,8264,eligible,eligible
2024_18_education_binary_lower,2024,18,Indiana,education_binary,lower,4718,2367072.6220627753,2996.2250832617055,41,4718,eligible,eligible
2024_18_education_binary_higher,2024,18,Indiana,education_binary,higher,8277,2982722.3676970475,5475.507755602477,41,8277,eligible,eligible
2024_19_education_binary_lower,2024,19,Iowa,education_binary,lower,3328,953665.9732450545,1956.2237965728445,29,3328,eligible,eligible
