graph_id_a,graph_id_b,state_a,state_b,ses_a,ses_b,same_state,same_ses,edge_jaccard,edge_agreement,association_correlation,common_association_count
2024_26_lower,2024_48_lower,26,48,lower,lower,False,True,0.7931034482758621,0.8666666666666667,0.8688014406429895,45
2024_26_lower,2024_48_higher,26,48,lower,higher,False,False,0.8,0.8666666666666667,0.8378003367895822,45
2024_26_higher,2024_06_lower,26,6,higher,lower,False,False,0.5483870967741935,0.6888888888888889,0.7310235243582841,45
2024_26_higher,2024_06_higher,26,6,higher,higher,False,True,0.8666666666666667,0.9111111111111111,0.8916714190476042,45
2024_26_higher,2024_12_lower,26,12,higher,lower,False,False,0.6666666666666666,0.7333333333333334,0.812138526040807,45
2024_26_higher,2024_12_higher,26,12,higher,higher,False,True,0.8064516129032258,0.8666666666666667,0.8849433667879569,45
2024_26_higher,2024_26_lower,26,26,higher,lower,True,False,0.7666666666666667,0.8444444444444444,0.8641972078920117,45
2024_26_higher,2024_26_higher,26,26,higher,higher,True,True,1.0,1.0,1.0,45
2024_26_higher,2024_36_lower,26,36,higher,lower,False,False,0.8571428571428571,0.9111111111111111,0.8797566632721818,45
2024_26_higher,2024_36_higher,26,36,higher,higher,False,True,0.8928571428571429,0.9333333333333333,0.9372523509349279,45
2024_26_higher,2024_48_lower,26,48,higher,lower,False,False,0.8928571428571429,0.9333333333333333,0.879991124455913,45
2024_26_higher,2024_48_higher,26,48,higher,higher,False,True,0.7741935483870968,0.8444444444444444,0.8929839681500469,45
2024_36_lower,2024_06_lower,36,6,lower,lower,False,True,0.5333333333333333,0.6888888888888889,0.794881244454005,45
2024_36_lower,2024_06_higher,36,6,lower,higher,False,False,0.7419354838709677,0.8222222222222222,0.7945144528191693,45
2024_36_lower,2024_12_lower,36,12,lower,lower,False,True,0.5675675675675675,0.6444444444444444,0.7879664113921137,45
2024_36_lower,2024_12_higher,36,12,lower,higher,False,False,0.8,0.8666666666666667,0.8258313520175696,45
2024_36_lower,2024_26_lower,36,26,lower,lower,False,True,0.7586206896551724,0.8444444444444444,0.9056825241523261,45
2024_36_lower,2024_26_higher,36,26,lower,higher,False,False,0.8571428571428571,0.9111111111111111,0.8797566632721819,45
2024_36_lower,2024_36_lower,36,36,lower,lower,True,True,1.0,1.0,1.0,45
2024_36_lower,2024_36_higher,36,36,lower,higher,True,False,0.7586206896551724,0.8444444444444444,0.9076248865516988,45
2024_36_lower,2024_48_lower,36,48,lower,lower,False,True,0.8214285714285714,0.8888888888888888,0.8953298819405859,45
2024_36_lower,2024_48_higher,36,48,lower,higher,False,False,0.7666666666666667,0.8444444444444444,0.8417551259380311,45
2024_36_higher,2024_06_lower,36,6,higher,lower,False,False,0.5666666666666667,0.7111111111111111,0.7633952217556442,45
2024_36_higher,2024_06_higher,36,6,higher,higher,False,True,0.8333333333333334,0.8888888888888888,0.9189077488816594,45
2024_36_higher,2024_12_lower,36,12,higher,lower,False,False,0.6857142857142857,0.7555555555555555,0.8234067276375331,45
2024_36_higher,2024_12_higher,36,12,higher,higher,False,True,0.7741935483870968,0.8444444444444444,0.9104092008881196,45
2024_36_higher,2024_26_lower,36,26,higher,lower,False,False,0.8571428571428571,0.9111111111111111,0.9078601236060456,45
2024_36_higher,2024_26_higher,36,26,higher,higher,False,True,0.8928571428571429,0.9333333333333333,0.9372523509349279,45
2024_36_higher,2024_36_lower,36,36,higher,lower,True,False,0.7586206896551724,0.8444444444444444,0.9076248865516989,45
2024_36_higher,2024_36_higher,36,36,higher,higher,True,True,1.0,1.0,1.0,45
2024_36_higher,2024_48_lower,36,48,higher,lower,False,False,0.8571428571428571,0.9111111111111111,0.9080246532402934,45
2024_36_higher,2024_48_higher,36,48,higher,higher,False,True,0.8,0.8666666666666667,0.8958291269726834,45
2024_48_lower,2024_06_lower,48,6,lower,lower,False,True,0.46875,0.6222222222222222,0.7697738578028681,45
2024_48_lower,2024_06_higher,48,6,lower,higher,False,False,0.896551724137931,0.9333333333333333,0.8066834259414706,45
2024_48_lower,2024_12_lower,48,12,lower,lower,False,True,0.6388888888888888,0.7111111111111111,0.7568940447632098,45
2024_48_lower,2024_12_higher,48,12,lower,higher,False,False,0.8333333333333334,0.8888888888888888,0.8133055064189582,45
2024_48_lower,2024_26_lower,48,26,lower,lower,False,True,0.7931034482758621,0.8666666666666667,0.8688014406429894,45
