support_fraction,support_count,node_count,baseline_motif_count,median_bootstrap_support_probability,minimum_bootstrap_support_probability,fraction_probability_ge_50,fraction_probability_ge_80,fraction_probability_ge_90
0.1,10,3,67,1.0,0.506,1.0,0.9253731343283582,0.9253731343283582
0.1,10,4,257,1.0,0.404,0.9883268482490273,0.9221789883268483,0.8793774319066148
0.1,10,5,774,1.0,0.268,0.9328165374677002,0.8462532299741602,0.7803617571059431
0.2,19,3,43,1.0,0.352,0.9767441860465116,0.9767441860465116,0.9767441860465116
0.2,19,4,149,1.0,0.306,0.9530201342281879,0.9261744966442953,0.8926174496644296
0.2,19,5,350,1.0,0.226,0.94,0.9057142857142857,0.8685714285714285
0.3,29,3,39,1.0,0.302,0.9487179487179487,0.9487179487179487,0.9487179487179487
0.3,29,4,102,1.0,0.152,0.9803921568627451,0.9607843137254902,0.9411764705882353
0.3,29,5,201,1.0,0.132,0.8905472636815921,0.8407960199004975,0.8109452736318408
