null_replicate,graph_index,target_swaps,accepted_swaps,changed
4,35,130,130,True
4,36,120,120,True
4,37,170,170,True
4,38,80,80,True
4,39,120,120,True
4,40,80,80,True
4,41,100,100,True
4,42,130,130,True
4,43,170,170,True
4,44,90,90,True
4,45,110,110,True
4,46,130,130,True
4,47,110,110,True
4,48,40,40,True
4,49,130,130,True
4,50,110,110,True
4,51,150,150,True
4,52,80,80,True
4,53,70,70,True
4,54,70,70,True
4,55,90,90,True
4,56,20,20,True
4,57,90,90,True
4,58,130,130,True
4,59,150,150,True
4,60,90,90,True
4,61,110,110,True
4,62,100,100,True
4,63,150,150,True
4,64,100,100,True
4,65,160,160,True
4,66,130,130,True
4,67,140,140,True
4,68,110,110,True
4,69,130,130,True
4,70,130,130,True
4,71,80,80,True
4,72,100,100,True
4,73,90,90,True
4,74,140,140,True
4,75,190,190,True
4,76,50,50,True
4,77,60,60,True
4,78,130,130,True
4,79,130,130,True
4,80,110,110,True
4,81,110,110,True
4,82,100,100,True
4,83,120,120,True
4,84,140,140,True
4,85,120,120,True
4,86,110,110,True
4,87,120,120,True
4,88,130,130,True
4,89,140,140,True
4,90,120,120,True
4,91,110,110,True
4,92,80,80,True
4,93,160,160,True
5,0,110,110,True
5,1,130,130,True
5,2,70,70,True
5,3,70,70,True
5,4,90,90,True
5,5,90,90,True
5,6,170,170,True
5,7,150,150,True
5,8,150,150,True
5,9,70,70,True
5,10,120,120,True
5,11,100,100,True
5,12,70,70,True
5,13,80,80,True
5,14,100,100,True
5,15,100,100,True
5,16,100,100,True
5,17,120,120,True
5,18,130,130,True
5,19,170,170,True
5,20,50,50,True
5,21,70,70,True
5,22,120,120,True
5,23,80,80,True
5,24,120,120,True
5,25,100,100,True
5,26,130,130,True
5,27,140,140,True
5,28,100,100,True
5,29,120,120,True
5,30,120,120,True
5,31,130,130,True
5,32,130,130,True
5,33,210,210,True
5,34,100,100,True
5,35,130,130,True
5,36,120,120,True
5,37,170,170,True
5,38,80,80,True
5,39,120,120,True
5,40,80,80,True
5,41,100,100,True
5,42,130,130,True
5,43,170,170,True
5,44,90,90,True
5,45,110,110,True
5,46,130,130,True
5,47,110,110,True
5,48,40,40,True
5,49,130,130,True
5,50,110,110,True
5,51,150,150,True
5,52,80,80,True
5,53,70,70,True
5,54,70,70,False
5,55,90,90,True
5,56,20,20,True
5,57,90,90,True
5,58,130,130,True
5,59,150,150,True
5,60,90,90,True
5,61,110,110,True
5,62,100,100,True
5,63,150,150,True
5,64,100,100,True
5,65,160,160,True
5,66,130,130,True
5,67,140,140,True
5,68,110,110,True
5,69,130,130,True
5,70,130,130,True
5,71,80,80,True
5,72,100,100,True
5,73,90,90,True
5,74,140,140,True
5,75,190,190,True
5,76,50,50,True
5,77,60,60,True
5,78,130,130,True
5,79,130,130,True
5,80,110,110,True
5,81,110,110,True
5,82,100,100,True
5,83,120,120,True
5,84,140,140,True
5,85,120,120,True
5,86,110,110,True
5,87,120,120,True
5,88,130,130,True
5,89,140,140,True
5,90,120,120,True
5,91,110,110,True
5,92,80,80,True
5,93,160,160,True
6,0,110,110,True
6,1,130,130,True
6,2,70,70,True
6,3,70,70,True
6,4,90,90,True
6,5,90,90,True
6,6,170,170,True
