bootstrap_replicate,support_fraction,baseline_motif_count,replicate_discovered_motif_count,retained_baseline_motif_count,novel_motif_count,discovery_set_retention,discovery_set_jaccard
36,0.1,1098,11810,1098,10712,1.0,0.09297205757832346
36,0.2,542,4754,542,4212,1.0,0.11400925536390408
36,0.3,342,1966,342,1624,1.0,0.17395727365208546
37,0.1,1098,10791,1098,9693,1.0,0.10175145954962468
37,0.2,542,4872,542,4330,1.0,0.11124794745484401
37,0.3,342,2239,342,1897,1.0,0.1527467619472979
38,0.1,1098,11824,1098,10726,1.0,0.09286197564276048
38,0.2,542,4910,542,4368,1.0,0.11038696537678208
38,0.3,342,1986,342,1644,1.0,0.17220543806646527
39,0.1,1098,10892,1098,9794,1.0,0.1008079324274697
39,0.2,542,5035,542,4493,1.0,0.10764647467725919
39,0.3,342,2349,342,2007,1.0,0.14559386973180077
40,0.1,1098,11931,1098,10833,1.0,0.09202916771435755
40,0.2,542,5042,542,4500,1.0,0.1074970249900833
40,0.3,342,2013,342,1671,1.0,0.16989567809239942
41,0.1,1098,10916,1098,9818,1.0,0.10058629534628069
41,0.2,542,4568,542,4026,1.0,0.11865148861646235
41,0.3,342,1662,342,1320,1.0,0.20577617328519857
42,0.1,1098,11937,1098,10839,1.0,0.09198291027896456
42,0.2,542,5120,542,4578,1.0,0.105859375
42,0.3,342,2370,342,2028,1.0,0.14430379746835442
43,0.1,1098,10632,1098,9534,1.0,0.10327313769751693
43,0.2,542,4555,542,4013,1.0,0.11899012074643249
43,0.3,342,1845,342,1503,1.0,0.18536585365853658
44,0.1,1098,11765,1098,10667,1.0,0.0933276668083298
44,0.2,542,5164,542,4622,1.0,0.10495739736638265
44,0.3,342,2401,342,2059,1.0,0.14244064972927947
45,0.1,1098,13453,1098,12355,1.0,0.08161748308927377
45,0.2,542,5568,542,5026,1.0,0.09734195402298851
45,0.3,342,2458,342,2116,1.0,0.13913751017087062
46,0.1,1098,13635,1098,12537,1.0,0.08052805280528053
46,0.2,542,5398,542,4856,1.0,0.10040755835494627
46,0.3,342,2136,342,1794,1.0,0.1601123595505618
47,0.1,1098,13698,1098,12600,1.0,0.08015768725361366
47,0.2,542,5644,542,5102,1.0,0.09603118355776046
47,0.3,342,2388,342,2046,1.0,0.14321608040201006
48,0.1,1098,10878,1098,9780,1.0,0.10093767236624379
48,0.2,542,4115,542,3573,1.0,0.13171324422843256
48,0.3,342,1831,342,1489,1.0,0.1867831785909339
49,0.1,1098,12390,1098,11292,1.0,0.08861985472154964
49,0.2,542,5231,542,4689,1.0,0.10361307589371058
49,0.3,342,2316,342,1974,1.0,0.14766839378238342
50,0.1,1098,11328,1098,10230,1.0,0.09692796610169492
50,0.2,542,4671,542,4129,1.0,0.11603511025476343
50,0.3,342,1980,342,1638,1.0,0.17272727272727273
51,0.1,1098,12280,1098,11182,1.0,0.08941368078175896
51,0.2,542,4470,542,3928,1.0,0.12125279642058165
51,0.3,342,2000,342,1658,1.0,0.171
52,0.1,1098,10772,1098,9674,1.0,0.10193093204604531
52,0.2,542,4670,542,4128,1.0,0.11605995717344754
52,0.3,342,1988,342,1646,1.0,0.1720321931589537
53,0.1,1098,12332,1098,11234,1.0,0.08903665261109309
53,0.2,542,5015,542,4473,1.0,0.10807577268195413
53,0.3,342,2225,342,1883,1.0,0.15370786516853932
54,0.1,1098,8688,1098,7590,1.0,0.12638121546961326
54,0.2,542,3852,542,3310,1.0,0.1407061266874351
54,0.3,342,1584,342,1242,1.0,0.2159090909090909
55,0.1,1098,10587,1098,9489,1.0,0.10371209974497024
55,0.2,542,4817,542,4275,1.0,0.11251816483288354
55,0.3,342,1933,342,1591,1.0,0.17692705638903258
56,0.1,1098,13587,1098,12489,1.0,0.08081254139986752
56,0.2,542,5806,542,5264,1.0,0.09335170513262142
56,0.3,342,2360,342,2018,1.0,0.14491525423728813
57,0.1,1098,10481,1098,9383,1.0,0.10476099608815953
57,0.2,542,4318,542,3776,1.0,0.12552107457156092
57,0.3,342,2131,342,1789,1.0,0.16048803378695448
58,0.1,1098,10830,1098,9732,1.0,0.10138504155124654
58,0.2,542,4259,542,3717,1.0,0.12725992016905377
58,0.3,342,1662,342,1320,1.0,0.20577617328519857
59,0.1,1098,12721,1098,11623,1.0,0.08631396902759217
59,0.2,542,6185,542,5643,1.0,0.08763136620856912
59,0.3,342,2479,342,2137,1.0,0.13795885437676483
60,0.1,1098,10462,1098,9364,1.0,0.10495125215064041
60,0.2,542,4432,542,3890,1.0,0.12229241877256318
60,0.3,342,1970,342,1628,1.0,0.1736040609137056
61,0.1,1098,11331,1098,10233,1.0,0.09690230341540905
61,0.2,542,4651,542,4109,1.0,0.11653407869275424
61,0.3,342,2001,342,1659,1.0,0.17091454272863568
62,0.1,1098,11451,1098,10353,1.0,0.09588682211160597
62,0.2,542,5185,542,4643,1.0,0.10453230472516875
62,0.3,342,2062,342,1720,1.0,0.1658583899127061
63,0.1,1098,11582,1098,10484,1.0,0.09480227939906752
63,0.2,542,4542,542,4000,1.0,0.11933069132540731
63,0.3,342,1783,342,1441,1.0,0.19181155356141336
64,0.1,1098,11221,1098,10123,1.0,0.0978522413332145
64,0.2,542,4371,542,3829,1.0,0.12399908487760238
64,0.3,342,1861,342,1519,1.0,0.18377216550241807
65,0.1,1098,11775,1098,10677,1.0,0.0932484076433121
65,0.2,542,4801,542,4259,1.0,0.1128931472609873
65,0.3,342,2464,342,2122,1.0,0.1387987012987013
66,0.1,1098,13400,1098,12302,1.0,0.08194029850746269
66,0.2,542,5245,542,4703,1.0,0.10333651096282173
66,0.3,342,2329,342,1987,1.0,0.1468441391155002
67,0.1,1098,10395,1098,9297,1.0,0.10562770562770563
67,0.2,542,4270,542,3728,1.0,0.1269320843091335
67,0.3,342,1731,342,1389,1.0,0.1975736568457539
68,0.1,1098,11767,1098,10669,1.0,0.09331180419818136
68,0.2,542,5031,542,4489,1.0,0.10773206122043331
