support_level,node_count,motif_count,closed_motif_count,maximal_motif_count,occurrence_class_count,tree_fraction,clique_fraction,median_edge_count,median_motif_density
support_10pct,3,67,35,0,60,0.8656716417910447,0.13432835820895522,2.0,0.6666666666666666
support_10pct,4,257,73,0,172,0.6926070038910506,0.0038910505836575876,3.0,0.5
support_10pct,5,774,410,114,340,0.5503875968992248,0.0,4.0,0.4
support_20pct,3,43,28,0,41,0.8604651162790697,0.13953488372093023,2.0,0.6666666666666666
support_20pct,4,149,64,0,118,0.6778523489932886,0.006711409395973154,3.0,0.5
support_20pct,5,350,238,22,224,0.5771428571428572,0.0,4.0,0.4
support_30pct,3,39,26,0,37,0.8717948717948718,0.1282051282051282,2.0,0.6666666666666666
support_30pct,4,102,53,0,86,0.7352941176470589,0.0,3.0,0.5
support_30pct,5,201,146,9,144,0.6616915422885572,0.0,4.0,0.4
