support_fraction,minimum_support_count,maximum_support_count,node_count,baseline_motif_count,median_bootstrap_support_probability,minimum_bootstrap_support_probability,fraction_probability_ge_50,fraction_probability_ge_80,fraction_probability_ge_90
0.1,10,10,3,67,1.0,0.492,0.9850746268656716,0.9253731343283582,0.9104477611940298
0.1,10,10,4,257,1.0,0.402,0.9727626459143969,0.9221789883268483,0.8599221789883269
0.1,10,10,5,774,1.0,0.284,0.917312661498708,0.8359173126614987,0.7739018087855297
0.2,19,19,3,43,1.0,0.386,0.9767441860465116,0.9767441860465116,0.9767441860465116
0.2,19,19,4,149,1.0,0.32,0.9530201342281879,0.9328859060402684,0.8993288590604027
0.2,19,19,5,350,1.0,0.218,0.94,0.9085714285714286,0.88
0.3,29,29,3,39,1.0,0.348,0.9487179487179487,0.9487179487179487,0.9487179487179487
0.3,29,29,4,102,1.0,0.154,0.9803921568627451,0.9607843137254902,0.9411764705882353
0.3,29,29,5,201,1.0,0.126,0.8905472636815921,0.8407960199004975,0.8109452736318408
