gspan_graph_index,graph_id,node_count,edge_count,component_count,isolate_count,largest_component_nodes,triangle_count,geography_code,geography,ses_definition,ses_category,n_unweighted,kish_effective_n,eligible_dyad_count,ineligible_dyad_count
53,2024_33_education_binary_lower,10,7,4,2,6,1,33,New Hampshire,education_binary,lower,1774,752.1485143722185,45,0
54,2024_34_education_binary_higher,10,7,4,3,7,1,34,New Jersey,education_binary,higher,5993,3160.4830058111843,45,0
55,2024_34_education_binary_lower,10,9,2,1,9,1,34,New Jersey,education_binary,lower,2562,1375.1070022580975,44,1
56,2024_35_education_binary_higher,10,2,8,6,2,0,35,New Mexico,education_binary,higher,2247,927.690053572936,45,0
57,2024_35_education_binary_lower,10,9,2,1,9,1,35,New Mexico,education_binary,lower,1136,542.8621097429867,38,7
58,2024_36_education_binary_higher,10,13,1,0,10,5,36,New York,education_binary,higher,29310,11160.789816107825,45,0
59,2024_36_education_binary_lower,10,15,1,0,10,7,36,New York,education_binary,lower,14299,5674.972134479502,45,0
60,2024_37_education_binary_higher,10,9,3,2,8,2,37,North Carolina,education_binary,higher,2960,2078.2171271473208,45,0
61,2024_37_education_binary_lower,10,11,2,1,9,2,37,North Carolina,education_binary,lower,1342,924.8797638796066,44,1
62,2024_38_education_binary_higher,10,10,2,0,8,2,38,North Dakota,education_binary,higher,4069,2613.831207062685,45,0
63,2024_38_education_binary_lower,10,15,1,0,10,5,38,North Dakota,education_binary,lower,1770,994.9966106420802,44,1
64,2024_39_education_binary_higher,10,10,2,1,9,2,39,Ohio,education_binary,higher,6350,3083.7716975344806,45,0
65,2024_39_education_binary_lower,10,16,1,0,10,8,39,Ohio,education_binary,lower,3784,1693.9230566236724,45,0
66,2024_40_education_binary_higher,10,13,2,0,8,5,40,Oklahoma,education_binary,higher,4640,3474.207187835976,45,0
67,2024_40_education_binary_lower,10,14,1,0,10,6,40,Oklahoma,education_binary,lower,2399,1789.8035377723038,45,0
68,2024_41_education_binary_higher,10,11,2,1,9,3,41,Oregon,education_binary,higher,4371,3085.875119932635,45,0
69,2024_41_education_binary_lower,10,13,1,0,10,4,41,Oregon,education_binary,lower,1751,1266.294258523901,44,1
70,2024_42_education_binary_higher,10,13,2,0,7,5,42,Pennsylvania,education_binary,higher,2227,1183.4251633014092,45,0
71,2024_42_education_binary_lower,10,8,4,3,7,1,42,Pennsylvania,education_binary,lower,1270,672.6166465977429,43,2
72,2024_44_education_binary_higher,10,10,3,2,8,3,44,Rhode Island,education_binary,higher,3889,2148.1555638105465,45,0
73,2024_44_education_binary_lower,10,9,2,1,9,1,44,Rhode Island,education_binary,lower,1547,874.5941582743703,42,3
74,2024_45_education_binary_higher,10,14,2,1,9,7,45,South Carolina,education_binary,higher,6319,2202.0190265889314,45,0
75,2024_45_education_binary_lower,10,19,1,0,10,14,45,South Carolina,education_binary,lower,3099,1047.7923822046807,45,0
76,2024_46_education_binary_higher,10,5,5,2,4,0,46,South Dakota,education_binary,higher,4085,671.7238562297061,45,0
77,2024_46_education_binary_lower,10,6,4,2,5,0,46,South Dakota,education_binary,lower,1742,295.6681344471387,45,0
78,2024_48_education_binary_higher,10,13,1,0,10,5,48,Texas,education_binary,higher,8268,2629.835088000756,45,0
79,2024_48_education_binary_lower,10,13,2,0,8,5,48,Texas,education_binary,lower,3937,1199.6741432739143,45,0
80,2024_49_education_binary_higher,10,11,3,2,8,5,49,Utah,education_binary,higher,8882,5185.42341107576,45,0
81,2024_49_education_binary_lower,10,11,2,0,7,3,49,Utah,education_binary,lower,3863,2191.5814266343477,45,0
82,2024_50_education_binary_higher,10,10,2,1,9,2,50,Vermont,education_binary,higher,5004,3143.4605163852284,45,0
83,2024_50_education_binary_lower,10,12,2,0,8,3,50,Vermont,education_binary,lower,1484,899.8185068759475,43,2
84,2024_51_education_binary_higher,10,14,1,0,10,6,51,Virginia,education_binary,higher,4937,2261.1273207622908,45,0
85,2024_51_education_binary_lower,10,12,2,1,9,5,51,Virginia,education_binary,lower,1902,860.7017016981456,45,0
86,2024_53_education_binary_higher,10,11,1,0,10,1,53,Washington,education_binary,higher,19038,11778.233327379863,45,0
87,2024_53_education_binary_lower,10,12,1,0,10,3,53,Washington,education_binary,lower,6573,4167.2291717089565,45,0
88,2024_54_education_binary_higher,10,13,1,0,10,5,54,West Virginia,education_binary,higher,3465,2376.216704460636,45,0
89,2024_54_education_binary_lower,10,14,2,0,8,7,54,West Virginia,education_binary,lower,2340,1587.1597554965726,45,0
90,2024_55_education_binary_higher,10,12,1,0,10,3,55,Wisconsin,education_binary,higher,8816,4146.356817016462,45,0
91,2024_55_education_binary_lower,10,11,2,1,9,3,55,Wisconsin,education_binary,lower,4236,2085.6884501453865,45,0
92,2024_56_education_binary_higher,10,8,3,1,7,0,56,Wyoming,education_binary,higher,3238,1942.093717536268,45,0
93,2024_56_education_binary_lower,10,16,2,1,9,10,56,Wyoming,education_binary,lower,1347,773.609819802342,41,4
